Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
UMBC,Jah'likai King,6,11,0.5454545454545454,10.50758325058616,14,3.49241674941384,6,7,0.8571428571428571,5.039165955563983,6,0.9608340444360168,15.546749206150142,20,4.453250793849858
UMBC,Ace Valentine,3,4,0.75,4.777313665185652,9,4.222686334814348,0,0,0.0,0.0,0,0.0,4.777313665185652,9,4.222686334814348
UMBC,Josh Odunowo,6,11,0.5454545454545454,10.495737954977724,12,1.5042620450222763,0,0,0.0,0.0,0,0.0,10.495737954977724,12,1.5042620450222763
UMBC,Riley Jacobs,4,7,0.5714285714285714,6.966707414798622,8,1.0332925852013783,3,4,0.75,2.879523403179419,3,0.12047659682058098,9.846230817978041,11,1.1537691820219589
UMBC,Jose Roberto Tanchyn,1,3,0.3333333333333333,2.520427986687753,2,-0.520427986687753,0,0,0.0,0.0,0,0.0,2.520427986687753,2,-0.520427986687753
UMBC,Caden Diggs,2,6,0.3333333333333333,5.673342193124165,4,-1.6733421931241654,2,2,1.0,1.4397617015897095,2,0.5602382984102905,7.113103894713875,6,-1.1131038947138752
UMBC,DJ Armstrong Jr.,4,8,0.5,7.15641607195923,10,2.84358392804077,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,8.59617777354894,11,2.4038222264510605
UMBC,Cougar Downing,1,2,0.5,2.233121495888822,2,-0.23312149588882214,0,0,0.0,0.0,0,0.0,2.233121495888822,2,-0.23312149588882214
Bucknell,Grgur Brcic,6,11,0.5454545454545454,11.013313316411617,12,0.986686683588383,2,6,0.3333333333333333,4.319285104769128,2,-2.3192851047691283,15.332598421180744,14,-1.3325984211807445
Bucknell,Achile Spadone,5,12,0.4166666666666667,12.670371164520276,13,0.3296288354797241,0,0,0.0,0.0,0,0.0,12.670371164520276,13,0.3296288354797241
Bucknell,Amon Dörries,5,8,0.625,7.7043481545334975,10,2.2956518454665025,6,6,1.0,4.319285104769128,6,1.6807148952308717,12.023633259302626,16,3.976366740697374
Bucknell,Aleksander Pachucki,1,7,0.14285714285714285,6.208501746577047,2,-4.208501746577047,0,0,0.0,0.0,0,0.0,6.208501746577047,2,-4.208501746577047
Bucknell,Quin Berger,3,10,0.3,9.30969187143256,9,-0.3096918714325607,2,2,1.0,1.4397617015897095,2,0.5602382984102905,10.74945357302227,11,0.25054642697772955
Bucknell,Jayden Williams,2,8,0.25,7.734522883679436,4,-3.7345228836794364,2,2,1.0,1.4397617015897095,2,0.5602382984102905,9.174284585269145,6,-3.1742845852691453
Bucknell,Patrick O'Brien,1,2,0.5,1.7551743020072137,2,0.2448256979927863,0,0,0.0,0.0,0,0.0,1.7551743020072137,2,0.2448256979927863
Bucknell,Jacob Meachem,1,3,0.3333333333333333,3.083710051086441,2,-1.0837100510864408,0,1,0.0,0.7198808507948548,0,-0.7198808507948548,3.8035909018812957,2,-1.8035909018812957
