Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
UMass Lowell,Xavier Spencer,4,8,0.5,7.175905064026026,9,1.8240949359739744,2,2,1.0,1.4397631060136147,2,0.5602368939863853,8.61566817003964,11,2.3843318299603595
UMass Lowell,JJ Massaquoi,2,9,0.2222222222222222,8.917944489877879,4,-4.917944489877879,0,2,0.0,1.4397631060136147,0,-1.4397631060136147,10.357707595891494,4,-6.357707595891494
UMass Lowell,Austin Green,4,5,0.8,5.452053974330365,8,2.547946025669635,1,4,0.25,2.8795262120272294,1,-1.8795262120272294,8.331580186357595,9,0.6684198136424051
UMass Lowell,Darrel Yepdo,6,11,0.5454545454545454,10.641793453818684,13,2.358206546181316,4,5,0.8,3.599407765034037,4,0.4005922349659632,14.241201218852721,17,2.758798781147279
UMass Lowell,Khalil Farmer,2,5,0.4,5.020440384438679,5,-0.020440384438678905,2,2,1.0,1.4397631060136147,2,0.5602368939863853,6.460203490452294,7,0.5397965095477062
UMass Lowell,Victor Okojie,0,2,0.0,2.3220923466348533,0,-2.3220923466348533,1,2,0.5,1.4397631060136147,1,-0.4397631060136147,3.7618554526484678,1,-2.7618554526484678
UMass Lowell,Jerrell Roberson II,3,5,0.6,5.282609720378204,6,0.7173902796217959,0,2,0.0,1.4397631060136147,0,-1.4397631060136147,6.722372826391819,6,-0.722372826391819
UMass Lowell,Isaiah Walter,1,3,0.3333333333333333,3.358562462623274,2,-1.358562462623274,0,0,0.0,0.0,0,0.0,3.358562462623274,2,-1.358562462623274
UMass Lowell,Angel Montas Jr.,0,0,0.0,0.0,0,0.0,3,6,0.5,4.319289318040844,3,-1.3192893180408438,4.319289318040844,3,-1.3192893180408438
UMass Lowell,Jared Frey,0,1,0.0,0.7922160968307903,0,-0.7922160968307903,0,0,0.0,0.0,0,0.0,0.7922160968307903,0,-0.7922160968307903
UMass Lowell,Keenan Bey,0,1,0.0,0.8772500270499846,0,-0.8772500270499846,0,2,0.0,1.4397631060136147,0,-1.4397631060136147,2.3170131330635995,0,-2.3170131330635995
Massachusetts,Daniel Hankins-Sanford,6,12,0.5,11.559271572117511,12,0.44072842788248856,0,2,0.0,1.4397631060136147,0,-1.4397631060136147,12.999034678131126,12,-0.9990346781311263
Massachusetts,Danny Carbuccia,1,6,0.16666666666666666,6.116110558868541,2,-4.116110558868541,1,4,0.25,2.8795262120272294,1,-1.8795262120272294,8.99563677089577,3,-5.99563677089577
Massachusetts,Jayden Ndjigue,5,8,0.625,8.077807902243128,10,1.9221920977568718,5,5,1.0,3.599407765034037,5,1.4005922349659632,11.677215667277165,15,3.3227843327228346
Massachusetts,Leonardo Bettiol,5,8,0.625,7.9258626646283314,10,2.0741373353716686,3,3,1.0,2.159644659020422,3,0.8403553409795781,10.085507323648754,13,2.914492676351246
Massachusetts,Marcus Banks Jr.,6,14,0.42857142857142855,13.972404071469771,14,0.02759592853022852,3,3,1.0,2.159644659020422,3,0.8403553409795781,16.132048730490194,17,0.8679512695098062
Massachusetts,Dwayne Wimbley Jr.,1,5,0.2,5.243016578772405,2,-3.243016578772405,0,0,0.0,0.0,0,0.0,5.243016578772405,2,-3.243016578772405
Massachusetts,K'Jei Parker,5,13,0.38461538461538464,11.75133871005123,12,0.24866128994876924,0,0,0.0,0.0,0,0.0,11.75133871005123,12,0.24866128994876924
Massachusetts,Luka Damjanac,1,1,1.0,1.089910345279233,2,0.9100896547207671,0,0,0.0,0.0,0,0.0,1.089910345279233,2,0.9100896547207671
Massachusetts,Dimitri Clerc,1,2,0.5,1.7635180037767855,2,0.23648199622321453,0,0,0.0,0.0,0,0.0,1.7635180037767855,2,0.23648199622321453
Massachusetts,Donovan Brown,1,1,1.0,0.8098268271714527,2,1.1901731728285472,0,0,0.0,0.0,0,0.0,0.8098268271714527,2,1.1901731728285472
