Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Belmont,Drew Scharnowski,4,6,0.6666666666666666,5.612855871965417,8,2.387144128034583,4,10,0.4,7.198808507948548,4,-3.1988085079485478,12.811664379913964,12,-0.8116643799139638
Belmont,Tyler Lundblade,6,10,0.6,9.883721986082183,15,5.1162780139178174,0,0,0.0,0.0,0,0.0,9.883721986082183,15,5.1162780139178174
Belmont,Nic McClain,8,14,0.5714285714285714,13.712224642475595,19,5.287775357524405,1,3,0.3333333333333333,2.159642552384564,1,-1.1596425523845642,15.87186719486016,20,4.12813280513984
Belmont,Brigham Rogers,5,9,0.5555555555555556,8.944906698573888,10,1.055093301426112,0,0,0.0,0.0,0,0.0,8.944906698573888,10,1.055093301426112
Belmont,Jabez Jenkins,4,8,0.5,8.90442650750552,9,0.09557349249448066,0,0,0.0,0.0,0,0.0,8.90442650750552,9,0.09557349249448066
Belmont,Isaiah West,1,2,0.5,2.0380805768914385,3,0.9619194231085615,0,0,0.0,0.0,0,0.0,2.0380805768914385,3,0.9619194231085615
Belmont,Jack Smiley,3,7,0.42857142857142855,7.083139230947079,7,-0.08313923094707931,0,0,0.0,0.0,0,0.0,7.083139230947079,7,-0.08313923094707931
Belmont,Sam Orme,3,6,0.5,6.565571040393721,7,0.43442895960627936,0,0,0.0,0.0,0,0.0,6.565571040393721,7,0.43442895960627936
Belmont,Win Miller,0,1,0.0,0.7337434080792583,0,-0.7337434080792583,0,0,0.0,0.0,0,0.0,0.7337434080792583,0,-0.7337434080792583
Belmont,Jake Dykstra,0,1,0.0,1.166660004246284,0,-1.166660004246284,0,0,0.0,0.0,0,0.0,1.166660004246284,0,-1.166660004246284
Belmont,Cooper Haynes,0,1,0.0,0.7222408316264993,0,-0.7222408316264993,0,0,0.0,0.0,0,0.0,0.7222408316264993,0,-0.7222408316264993
Middle Tennessee,Kamari Lands,1,8,0.125,7.33207037719905,2,-5.33207037719905,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,8.771832078788758,3,-5.7718320787887585
Middle Tennessee,Tre Green,2,10,0.2,11.567763891188445,6,-5.567763891188445,2,2,1.0,1.4397617015897095,2,0.5602382984102905,13.007525592778155,8,-5.007525592778155
Middle Tennessee,Torey Alston,3,7,0.42857142857142855,6.9377656858641545,6,-0.9377656858641545,8,10,0.8,7.198808507948548,8,0.8011914920514522,14.136574193812702,14,-0.1365741938127023
Middle Tennessee,Chris Loofe,3,4,0.75,3.8343332539848998,7,3.1656667460151002,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,5.2740949555746095,8,2.7259050444253905
Middle Tennessee,Jahvin Carter,4,12,0.3333333333333333,12.615145219815885,11,-1.6151452198158847,0,0,0.0,0.0,0,0.0,12.615145219815885,11,-1.6151452198158847
Middle Tennessee,Sean Smith,5,15,0.3333333333333333,12.865333171768139,10,-2.865333171768139,0,0,0.0,0.0,0,0.0,12.865333171768139,10,-2.865333171768139
Middle Tennessee,Alec Oglesby,3,9,0.3333333333333333,9.232174343148202,8,-1.232174343148202,0,0,0.0,0.0,0,0.0,9.232174343148202,8,-1.232174343148202
Middle Tennessee,Jarred Hall,0,1,0.0,1.1461307784894146,0,-1.1461307784894146,0,0,0.0,0.0,0,0.0,1.1461307784894146,0,-1.1461307784894146
Middle Tennessee,Marcus Whitlock Jr.,0,1,0.0,1.0152412992655557,0,-1.0152412992655557,0,0,0.0,0.0,0,0.0,1.0152412992655557,0,-1.0152412992655557
