Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Central Connecticut,Melo Sanchez,3,11,0.2727272727272727,10.906160750456051,8,-2.906160750456051,0,0,0.0,0.0,0,0.0,10.906160750456051,8,-2.906160750456051
Central Connecticut,Darin Smith Jr.,3,12,0.25,12.838638751424954,7,-5.838638751424954,5,6,0.8333333333333334,4.319289318040844,5,0.6807106819591562,17.157928069465797,12,-5.157928069465797
Central Connecticut,Jay Rodgers,5,13,0.38461538461538464,11.590603839311033,11,-0.5906038393110329,1,1,1.0,0.7198815530068073,1,0.28011844699319266,12.31048539231784,12,-0.31048539231784034
Central Connecticut,James Jones,1,8,0.125,7.623612207101427,2,-5.623612207101427,1,2,0.5,1.4397631060136147,1,-0.4397631060136147,9.063375313115042,3,-6.063375313115042
Central Connecticut,Daniel James,1,2,0.5,1.9149590483403145,2,0.0850409516596855,1,3,0.3333333333333333,2.159644659020422,1,-1.159644659020422,4.074603707360737,3,-1.0746037073607368
Central Connecticut,Max Frazier,4,7,0.5714285714285714,7.16137139730621,8,0.8386286026937899,1,4,0.25,2.8795262120272294,1,-1.8795262120272294,10.04089760933344,9,-1.0408976093334399
Central Connecticut,Elijah Parker,3,5,0.6,4.715153745246775,6,1.2848462547532247,0,0,0.0,0.0,0,0.0,4.715153745246775,6,1.2848462547532247
Central Connecticut,Gabe Spinelli,0,3,0.0,2.7025619611197946,0,-2.7025619611197946,0,0,0.0,0.0,0,0.0,2.7025619611197946,0,-2.7025619611197946
Central Connecticut,Ashton Reynolds,1,2,0.5,1.7584152447360082,2,0.2415847552639918,1,1,1.0,0.7198815530068073,1,0.28011844699319266,2.4782967977428156,3,0.5217032022571844
Northeastern,JB Frankel,3,11,0.2727272727272727,11.424036973167118,6,-5.424036973167118,0,0,0.0,0.0,0,0.0,11.424036973167118,6,-5.424036973167118
Northeastern,Xander Alarie,0,2,0.0,1.6455684057586581,0,-1.6455684057586581,0,0,0.0,0.0,0,0.0,1.6455684057586581,0,-1.6455684057586581
Northeastern,William Kermoury,6,12,0.5,13.211337599820208,18,4.788662400179792,0,0,0.0,0.0,0,0.0,13.211337599820208,18,4.788662400179792
Northeastern,Mike Loughnane,3,5,0.6,5.27887329429789,7,1.72112670570211,2,2,1.0,1.4397631060136147,2,0.5602368939863853,6.718636400311505,9,2.281363599688495
Northeastern,Xavier Abreu,4,7,0.5714285714285714,6.815207507678809,9,2.1847924923211908,6,7,0.8571428571428571,5.039170871047651,6,0.9608291289523487,11.85437837872646,15,3.1456216212735395
Northeastern,Ty Francis,4,5,0.8,5.36051143480967,8,2.63948856519033,2,2,1.0,1.4397631060136147,2,0.5602368939863853,6.800274540823285,10,3.1997254591767152
Northeastern,Liam Koelsch,3,6,0.5,6.4351440056015985,6,-0.4351440056015985,0,1,0.0,0.7198815530068073,0,-0.7198815530068073,7.155025558608406,6,-1.155025558608406
Northeastern,Luca Soroa,2,4,0.5,4.307001730722334,5,0.6929982692776662,2,2,1.0,1.4397631060136147,2,0.5602368939863853,5.746764836735949,7,1.2532351632640513
Northeastern,Petar Pinter,1,2,0.5,1.915672839403868,2,0.08432716059613199,0,0,0.0,0.0,0,0.0,1.915672839403868,2,0.08432716059613199
Northeastern,Ryan Williams,0,2,0.0,2.6682716232664925,0,-2.6682716232664925,0,0,0.0,0.0,0,0.0,2.6682716232664925,0,-2.6682716232664925
