Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Illinois,Andrej Stojakovic,2,5,0.4,5.217403336976942,4,-1.2174033369769424,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,6.657165038566652,5,-1.657165038566652
Illinois,Tomislav Ivisic,7,13,0.5384615384615384,13.854186828145025,16,2.145813171854975,0,0,0.0,0.0,0,0.0,13.854186828145025,16,2.145813171854975
Illinois,Kylan Boswell,6,11,0.5454545454545454,10.511595423215734,12,1.4884045767842657,3,6,0.5,4.319285104769128,3,-1.3192851047691283,14.830880527984863,15,0.16911947201513655
Illinois,Mihailo Petrovic,0,3,0.0,2.7238710131219612,0,-2.7238710131219612,0,0,0.0,0.0,0,0.0,2.7238710131219612,0,-2.7238710131219612
Illinois,Keaton Wagler,5,13,0.38461538461538464,13.233063959029462,14,0.7669360409705384,2,2,1.0,1.4397617015897095,2,0.5602382984102905,14.672825660619171,16,1.3271743393808286
Illinois,David Mirkovic,4,9,0.4444444444444444,8.361692857928293,10,1.6383071420717066,0,2,0.0,1.4397617015897095,0,-1.4397617015897095,9.801454559518003,10,0.19854544048199685
Illinois,Zvonimir Ivisic,3,3,1.0,3.2570311707416275,8,4.7429688292583725,0,0,0.0,0.0,0,0.0,3.2570311707416275,8,4.7429688292583725
Illinois,Jake Davis,1,1,1.0,1.4418393325353793,3,1.5581606674646207,0,0,0.0,0.0,0,0.0,1.4418393325353793,3,1.5581606674646207
Illinois,Ben Humrichous,0,0,0.0,0.0,0,0.0,2,2,1.0,1.4397617015897095,2,0.5602382984102905,1.4397617015897095,2,0.5602382984102905
Tennessee,Nate Ament,4,14,0.2857142857142857,14.411267779107138,8,-6.411267779107138,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,15.851029480696848,9,-6.851029480696848
Tennessee,Ja'Kobi Gillespie,6,20,0.3,20.456982189536905,15,-5.456982189536905,0,0,0.0,0.0,0,0.0,20.456982189536905,15,-5.456982189536905
Tennessee,Felix Okpara,2,5,0.4,4.380842682471969,4,-0.38084268247196906,1,6,0.16666666666666666,4.319285104769128,1,-3.3192851047691283,8.700127787241097,5,-3.7001277872410974
Tennessee,Amaree Abram,2,3,0.6666666666666666,2.749266919973106,5,2.250733080026894,3,4,0.75,2.879523403179419,3,0.12047659682058098,5.628790323152526,8,2.3712096768474744
Tennessee,DeWayne Brown II,2,2,1.0,1.6113708021805446,4,2.3886291978194554,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,3.051132503770254,5,1.948867496229746
Tennessee,J.P. Estrella,2,5,0.4,5.046316089135297,4,-1.0463160891352974,0,0,0.0,0.0,0,0.0,5.046316089135297,4,-1.0463160891352974
Tennessee,Amari Evans,1,2,0.5,2.040607302738623,2,-0.04060730273862312,0,0,0.0,0.0,0,0.0,2.040607302738623,2,-0.04060730273862312
Tennessee,Jaylen Carey,2,7,0.2857142857142857,6.82409923433295,4,-2.82409923433295,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,8.26386093592266,5,-3.2638609359226596
Tennessee,Bishop Boswell,2,5,0.4,5.072494956480998,6,0.9275050435190018,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,6.512256658070708,7,0.48774334192929203
Tennessee,Cade Phillips,1,2,0.5,2.1931203174456595,2,-0.1931203174456595,0,0,0.0,0.0,0,0.0,2.1931203174456595,2,-0.1931203174456595
