Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
LSU,Marquel Sutton,3,8,0.375,8.942567731213131,6,-2.9425677312131313,1,4,0.25,2.879523403179419,1,-1.879523403179419,11.82209113439255,7,-4.822091134392551
LSU,Max Mackinnon,0,9,0.0,9.736171680904272,0,-9.736171680904272,2,2,1.0,1.4397617015897095,2,0.5602382984102905,11.175933382493982,2,-9.175933382493982
LSU,Pablo Tamba,2,3,0.6666666666666666,3.011978276135173,4,0.988021723864827,0,0,0.0,0.0,0,0.0,3.011978276135173,4,0.988021723864827
LSU,Dedan Thomas Jr.,5,14,0.35714285714285715,12.457550330083425,11,-1.457550330083425,2,2,1.0,1.4397617015897095,2,0.5602382984102905,13.897312031673135,13,-0.8973120316731347
LSU,Mike Nwoko,4,8,0.5,6.197325273488772,8,1.8026747265112277,2,2,1.0,1.4397617015897095,2,0.5602382984102905,7.637086975078482,10,2.362913024921518
LSU,Robert Miller III,2,3,0.6666666666666666,2.546652527690238,4,1.453347472309762,2,4,0.5,2.879523403179419,2,-0.879523403179419,5.4261759308696575,6,0.5738240691303425
LSU,Rashad King,1,6,0.16666666666666666,5.793894759774706,2,-3.793894759774706,2,2,1.0,1.4397617015897095,2,0.5602382984102905,7.233656461364416,4,-3.233656461364416
LSU,Jalen Reece,0,3,0.0,2.9300307536091097,0,-2.9300307536091097,0,0,0.0,0.0,0,0.0,2.9300307536091097,0,-2.9300307536091097
LSU,PJ Carter,1,2,0.5,2.59409006582525,3,0.40590993417474985,0,0,0.0,0.0,0,0.0,2.59409006582525,3,0.40590993417474985
LSU,Ron Zipper,2,4,0.5,4.725444229085767,6,1.2745557709142332,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,6.1652059306754765,7,0.8347940693245235
LSU,Mazi Mosley,1,3,0.3333333333333333,2.4189435283264418,2,-0.41894352832644177,0,1,0.0,0.7198808507948548,0,-0.7198808507948548,3.1388243791212966,2,-1.1388243791212966
Texas Tech,Luke Bamgboye,1,4,0.25,3.6957276261060628,2,-1.6957276261060628,4,4,1.0,2.879523403179419,4,1.120476596820581,6.575251029285482,6,-0.5752510292854822
Texas Tech,Christian Anderson,9,16,0.5625,15.286751139093022,23,7.713248860906978,4,7,0.5714285714285714,5.039165955563983,4,-1.0391659555639832,20.325917094657004,27,6.6740829053429955
Texas Tech,Leon Horner,0,2,0.0,1.7461757037613679,0,-1.7461757037613679,0,0,0.0,0.0,0,0.0,1.7461757037613679,0,-1.7461757037613679
Texas Tech,Donovan Atwell,3,9,0.3333333333333333,10.027494234520212,9,-1.027494234520212,0,0,0.0,0.0,0,0.0,10.027494234520212,9,-1.027494234520212
Texas Tech,JT Toppin,5,10,0.5,8.361953893946122,10,1.6380461060538778,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,9.801715595535832,11,1.198284404464168
Texas Tech,LeJuan Watts,5,11,0.45454545454545453,11.204172439596451,11,-0.20417243959645148,4,4,1.0,2.879523403179419,4,1.120476596820581,14.083695842775871,15,0.9163041572241291
Texas Tech,Jaylen Petty,4,6,0.6666666666666666,5.965401306350794,11,5.034598693649206,0,0,0.0,0.0,0,0.0,5.965401306350794,11,5.034598693649206
Texas Tech,Tyeree Bryan,1,2,0.5,2.860377628844131,3,0.13962237115586884,0,1,0.0,0.7198808507948548,0,-0.7198808507948548,3.580258479638986,3,-0.580258479638986
