Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Missouri,Annor Boateng,1,7,0.14285714285714285,6.806809382792957,2,-4.806809382792957,0,0,0.0,0.0,0,0.0,6.806809382792957,2,-4.806809382792957
Missouri,Mark Mitchell,7,15,0.4666666666666667,14.841151988515424,15,0.15884801148457584,6,11,0.5454545454545454,7.918689358743403,6,-1.9186893587434026,22.759841347258828,21,-1.7598413472588277
Missouri,Shawn Phillips Jr.,3,6,0.5,5.805225642289282,6,0.19477435771071772,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,7.244987343878992,7,-0.24498734387899201
Missouri,Jevon Porter,1,5,0.2,4.489473137375057,3,-1.4894731373750574,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,5.929234838964767,4,-1.929234838964767
Missouri,Anthony Robinson II,1,6,0.16666666666666666,6.092966592585453,3,-3.0929665925854533,2,4,0.5,2.879523403179419,2,-0.879523403179419,8.972489995764873,5,-3.9724899957648727
Missouri,T.O. Barrett,2,5,0.4,4.615705264127446,4,-0.6157052641274463,0,0,0.0,0.0,0,0.0,4.615705264127446,4,-0.6157052641274463
Missouri,Jacob Crews,4,10,0.4,10.127480286104486,11,0.8725197138955139,0,0,0.0,0.0,0,0.0,10.127480286104486,11,0.8725197138955139
Missouri,Luke Northweather,1,4,0.25,4.78140917432852,3,-1.7814091743285196,0,0,0.0,0.0,0,0.0,4.78140917432852,3,-1.7814091743285196
Missouri,Sebastian Mack,1,3,0.3333333333333333,2.4061301039719973,2,-0.40613010397199734,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,3.845891805561707,3,-0.8458918055617071
Kansas,Tre White,5,9,0.5555555555555556,9.56872848845926,13,3.4312715115407393,7,8,0.875,5.759046806358838,7,1.240953193641162,15.3277752948181,20,4.6722247051819
Kansas,Bryson Tiller,4,5,0.8,5.551442538359162,8,2.4485574616408377,5,8,0.625,5.759046806358838,5,-0.759046806358838,11.310489344718,13,1.6895106552819996
Kansas,Darryn Peterson,6,14,0.42857142857142855,14.217184136918897,15,0.7828158630811028,2,2,1.0,1.4397617015897095,2,0.5602382984102905,15.656945838508607,17,1.3430541614913931
Kansas,Melvin Council Jr.,4,10,0.4,9.078533416816892,8,-1.0785334168168923,1,1,1.0,0.7198808507948548,1,0.28011914920514525,9.798414267611747,9,-0.7984142676117472
Kansas,Flory Bidunga,4,9,0.4444444444444444,9.40790666401697,8,-1.40790666401697,2,2,1.0,1.4397617015897095,2,0.5602382984102905,10.84766836560668,10,-0.8476683656066797
Kansas,Jamari McDowell,2,4,0.5,4.537816587997654,6,1.4621834120023456,1,3,0.3333333333333333,2.159642552384564,1,-1.1596425523845642,6.697459140382218,7,0.3025408596177819
Kansas,Elmarko Jackson,0,4,0.0,3.784810430283363,0,-3.784810430283363,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,5.224572131873073,1,-4.224572131873073
Kansas,Kohl Rosario,0,1,0.0,1.1677945853637963,0,-1.1677945853637963,0,0,0.0,0.0,0,0.0,1.1677945853637963,0,-1.1677945853637963
Kansas,Jayden Dawson,1,1,1.0,0.8725215648812441,3,2.127478435118756,0,0,0.0,0.0,0,0.0,0.8725215648812441,3,2.127478435118756
