Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Robert Morris,Ta'Zir Smith,3,9,0.3333333333333333,8.757042976670173,7,-1.7570429766701725,5,5,1.0,3.599404253974274,5,1.4005957460257261,12.356447230644447,12,-0.35644723064444683
Robert Morris,Ryan Prather Jr.,3,7,0.42857142857142855,7.7481506545214955,6,-1.7481506545214955,2,2,1.0,1.4397617015897095,2,0.5602382984102905,9.187912356111205,8,-1.1879123561112053
Robert Morris,DeSean Goode,9,12,0.75,12.325705602582627,20,7.674294397417373,6,7,0.8571428571428571,5.039165955563983,6,0.9608340444360168,17.36487155814661,26,8.63512844185339
Robert Morris,Nikolaos Chitikoudis,3,9,0.3333333333333333,8.792830638135026,6,-2.792830638135026,0,0,0.0,0.0,0,0.0,8.792830638135026,6,-2.792830638135026
Robert Morris,Albert Vargas,3,4,0.75,3.904002256416012,7,3.095997743583988,2,2,1.0,1.4397617015897095,2,0.5602382984102905,5.343763958005722,9,3.656236041994278
Robert Morris,Darius Livingston,1,8,0.125,7.991701940783102,2,-5.991701940783102,1,1,1.0,0.7198808507948548,1,0.28011914920514525,8.711582791577957,3,-5.711582791577957
Robert Morris,Josh Hill,2,10,0.2,10.044022011885765,5,-5.044022011885765,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,11.483783713475475,6,-5.483783713475475
Robert Morris,Kaleb Brown,1,2,0.5,1.7956031207728742,2,0.2043968792271258,0,0,0.0,0.0,0,0.0,1.7956031207728742,2,0.2043968792271258
Milwaukee,Danilo Jovanovich,3,8,0.375,8.232343603854389,6,-2.232343603854389,0,0,0.0,0.0,0,0.0,8.232343603854389,6,-2.232343603854389
Milwaukee,Isaiah Dorceus,3,10,0.3,9.60229741917078,9,-0.60229741917078,2,4,0.5,2.879523403179419,2,-0.879523403179419,12.4818208223502,11,-1.4818208223501994
Milwaukee,Amar Augillard,1,4,0.25,4.6537872443960495,3,-1.6537872443960495,0,0,0.0,0.0,0,0.0,4.6537872443960495,3,-1.6537872443960495
Milwaukee,Seth Hubbard,5,13,0.38461538461538464,12.274071502041727,12,-0.2740715020417266,9,10,0.9,7.198808507948548,9,1.8011914920514522,19.472880009990273,21,1.5271199900097265
Milwaukee,Josh Dixon,0,3,0.0,2.671958382866441,0,-2.671958382866441,2,2,1.0,1.4397617015897095,2,0.5602382984102905,4.111720084456151,2,-2.1117200844561506
Milwaukee,Faizon Fields,1,2,0.5,2.0964735419556035,3,0.9035264580443965,2,4,0.5,2.879523403179419,2,-0.879523403179419,4.975996945135023,5,0.024003054864977003
Milwaukee,Esyah Pippa-White,2,5,0.4,4.907955257417215,4,-0.907955257417215,1,1,1.0,0.7198808507948548,1,0.28011914920514525,5.62783610821207,5,-0.6278361082120698
Milwaukee,Stevie Elam,3,7,0.42857142857142855,6.334527391149128,7,0.6654726088508722,0,0,0.0,0.0,0,0.0,6.334527391149128,7,0.6654726088508722
Milwaukee,Aaron Franklin,4,6,0.6666666666666666,6.504142316208998,8,1.4958576837910016,4,7,0.5714285714285714,5.039165955563983,4,-1.0391659555639832,11.543308271772982,12,0.45669172822701753
Milwaukee,Sekou Konneh,1,2,0.5,1.9773556314502863,2,0.022644368549713745,0,0,0.0,0.0,0,0.0,1.9773556314502863,2,0.022644368549713745
