Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Texas A&M-Corpus Christi,Nick Shogbonyo,5,12,0.4166666666666667,11.44809905615905,12,0.5519009438409501,6,7,0.8571428571428571,5.039170871047651,6,0.9608291289523487,16.4872699272067,18,1.5127300727932997
Texas A&M-Corpus Christi,Mason Gibson,2,5,0.4,5.171472283613061,6,0.8285277163869393,0,0,0.0,0.0,0,0.0,5.171472283613061,6,0.8285277163869393
Texas A&M-Corpus Christi,Cenker Evran,2,4,0.5,3.913037987199129,4,0.08696201280087079,0,0,0.0,0.0,0,0.0,3.913037987199129,4,0.08696201280087079
Texas A&M-Corpus Christi,Leo Torbor,4,7,0.5714285714285714,6.947390506746029,8,1.0526094932539714,2,2,1.0,1.4397631060136147,2,0.5602368939863853,8.387153612759644,10,1.6128463872403564
Texas A&M-Corpus Christi,Bryson Wheatfall,0,3,0.0,3.146164424592663,0,-3.146164424592663,0,2,0.0,1.4397631060136147,0,-1.4397631060136147,4.585927530606278,0,-4.585927530606278
Texas A&M-Corpus Christi,Franck Yetna,1,4,0.25,4.078789809381231,3,-1.078789809381231,0,0,0.0,0.0,0,0.0,4.078789809381231,3,-1.078789809381231
Texas A&M-Corpus Christi,Kam Parker,0,1,0.0,1.1874192593452804,0,-1.1874192593452804,0,0,0.0,0.0,0,0.0,1.1874192593452804,0,-1.1874192593452804
Texas A&M-Corpus Christi,Sheldon Williams,5,7,0.7142857142857143,7.391350783437265,11,3.6086492165627346,2,4,0.5,2.8795262120272294,2,-0.8795262120272294,10.270876995464494,13,2.7291230045355057
Texas A&M-Corpus Christi,Jaden Haire,0,2,0.0,2.188880195444619,0,-2.188880195444619,0,0,0.0,0.0,0,0.0,2.188880195444619,0,-2.188880195444619
Texas A&M-Corpus Christi,Kobi Pearson,0,0,0.0,0.0,0,0.0,3,4,0.75,2.8795262120272294,3,0.12047378797277064,2.8795262120272294,3,0.12047378797277064
Lamar,Andrew Holifield,1,6,0.16666666666666666,6.658513272300129,3,-3.6585132723001292,0,0,0.0,0.0,0,0.0,6.658513272300129,3,-3.6585132723001292
Lamar,Cody Pennebaker,4,8,0.5,7.242968850221507,9,1.7570311497784932,0,0,0.0,0.0,0,0.0,7.242968850221507,9,1.7570311497784932
Lamar,Rob Lee Jr.,6,13,0.46153846153846156,13.477565392198368,14,0.5224346078016318,1,2,0.5,1.4397631060136147,1,-0.4397631060136147,14.917328498211983,15,0.08267150178801685
Lamar,Braden East,1,6,0.16666666666666666,5.508108951152789,2,-3.5081089511527894,3,4,0.75,2.8795262120272294,3,0.12047378797277064,8.387635163180018,5,-3.3876351631800183
Lamar,Jayden Gambrell,1,5,0.2,4.582421160689213,3,-1.5824211606892131,0,0,0.0,0.0,0,0.0,4.582421160689213,3,-1.5824211606892131
Lamar,King-Njhsanni Wilhite,0,2,0.0,1.6262356517205387,0,-1.6262356517205387,0,0,0.0,0.0,0,0.0,1.6262356517205387,0,-1.6262356517205387
Lamar,B.B. Knight,1,4,0.25,4.411874767603949,2,-2.4118747676039494,2,2,1.0,1.4397631060136147,2,0.5602368939863853,5.851637873617564,4,-1.8516378736175643
Lamar,Eian Lowe,3,4,0.75,3.831181151094917,6,2.168818848905083,0,0,0.0,0.0,0,0.0,3.831181151094917,6,2.168818848905083
Lamar,Errol White,2,2,1.0,1.8141802844762631,4,2.1858197155237367,0,1,0.0,0.7198815530068073,0,-0.7198815530068073,2.5340618374830703,4,1.4659381625169297
Lamar,Janko Bulajic,0,1,0.0,1.0911540267269075,0,-1.0911540267269075,0,0,0.0,0.0,0,0.0,1.0911540267269075,0,-1.0911540267269075
