Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
UIC,Ahmad Henderson ii,4,13,0.3076923076923077,12.436449204992725,10,-2.4364492049927247,0,0,0.0,0.0,0,0.0,12.436449204992725,10,-2.4364492049927247
UIC,Andy Johnson,4,12,0.3333333333333333,12.045340493906982,9,-3.0453404939069824,6,6,1.0,4.319285104769128,6,1.6807148952308717,16.36462559867611,15,-1.3646255986761098
UIC,Abdul Momoh,4,6,0.6666666666666666,5.713992536710305,8,2.286007463289695,0,0,0.0,0.0,0,0.0,5.713992536710305,8,2.286007463289695
UIC,Jayce Nathaniel,1,9,0.1111111111111111,9.462602944316357,2,-7.462602944316357,3,4,0.75,2.879523403179419,3,0.12047659682058098,12.342126347495777,5,-7.3421263474957765
UIC,Rashund Washington Jr.,3,5,0.6,4.5954876974633985,7,2.4045123025366015,0,1,0.0,0.7198808507948548,0,-0.7198808507948548,5.315368548258253,7,1.6846314517417467
UIC,Mekhi Lowery,3,7,0.42857142857142855,6.568961924129685,6,-0.5689619241296846,5,5,1.0,3.599404253974274,5,1.4005957460257261,10.168366178103959,11,0.8316338218960411
UIC,Josiah Hammons,3,7,0.42857142857142855,7.1868028846407634,9,1.8131971153592366,1,1,1.0,0.7198808507948548,1,0.28011914920514525,7.906683735435618,10,2.0933162645643817
UIC,Sam Silverstein,0,5,0.0,4.7070515965617785,0,-4.7070515965617785,0,0,0.0,0.0,0,0.0,4.7070515965617785,0,-4.7070515965617785
UIC,Tai Walters-Whitaker,0,1,0.0,1.1192437647211235,0,-1.1192437647211235,0,0,0.0,0.0,0,0.0,1.1192437647211235,0,-1.1192437647211235
Yale,Trevor Mullin,6,11,0.5454545454545454,10.63681659648553,16,5.363183403514469,6,8,0.75,5.759046806358838,6,0.24095319364116197,16.39586340284437,22,5.60413659715563
Yale,Nick Townsend,4,11,0.36363636363636365,10.819476648784171,10,-0.8194766487841711,6,7,0.8571428571428571,5.039165955563983,6,0.9608340444360168,15.858642604348155,16,0.1413573956518448
Yale,Casey Simmons,3,8,0.375,8.486650559203172,6,-2.486650559203172,3,4,0.75,2.879523403179419,3,0.12047659682058098,11.366173962382591,9,-2.3661739623825913
Yale,Riley Fox,4,11,0.36363636363636365,9.90511408481678,9,-0.9051140848167805,0,0,0.0,0.0,0,0.0,9.90511408481678,9,-0.9051140848167805
Yale,Devon Arlington,1,3,0.3333333333333333,2.585008584703862,3,0.41499141529613803,2,2,1.0,1.4397617015897095,2,0.5602382984102905,4.024770286293571,5,0.9752297137064287
Yale,Jordan Brathwaite,2,4,0.5,3.046064585624306,5,1.9539354143756942,0,0,0.0,0.0,0,0.0,3.046064585624306,5,1.9539354143756942
Yale,Isaac Celiscar,4,7,0.5714285714285714,7.095470638911661,8,0.9045293610883389,5,5,1.0,3.599404253974274,5,1.4005957460257261,10.694874892885935,13,2.3051251071140655
Yale,Samson Aletan,0,1,0.0,0.9526500318320599,0,-0.9526500318320599,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,2.3924117334217696,1,-1.3924117334217696
