Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
UL Monroe,Renars Sondors,2,8,0.25,8.362938451028429,4,-4.362938451028429,0,0,0.0,0.0,0,0.0,8.362938451028429,4,-4.362938451028429
UL Monroe,MJ Russell,7,20,0.35,20.2148790951381,15,-5.214879095138102,5,7,0.7142857142857143,5.039165955563983,5,-0.03916595556398317,25.254045050702086,20,-5.254045050702086
UL Monroe,Krystian Lewis,5,15,0.3333333333333333,14.459851974677123,12,-2.4598519746771235,5,5,1.0,3.599404253974274,5,1.4005957460257261,18.059256228651396,17,-1.059256228651396
UL Monroe,Lavell Brodnex,6,13,0.46153846153846156,13.757770816303296,14,0.2422291836967041,9,10,0.9,7.198808507948548,9,1.8011914920514522,20.956579324251845,23,2.0434206757481554
UL Monroe,Przemek Hartman,3,3,1.0,3.1106857206042626,6,2.8893142793957374,0,2,0.0,1.4397617015897095,0,-1.4397617015897095,4.550447422193972,6,1.4495525778060276
UL Monroe,Alex Molofeev,3,6,0.5,6.117986137155641,6,-0.11798613715564077,0,0,0.0,0.0,0,0.0,6.117986137155641,6,-0.11798613715564077
UL Monroe,Alex Huguet Carrasco,0,1,0.0,1.5356111948143236,0,-1.5356111948143236,0,0,0.0,0.0,0,0.0,1.5356111948143236,0,-1.5356111948143236
Stephen F. Austin,Kam Burton,2,5,0.4,4.998788882173036,6,1.0012111178269638,0,0,0.0,0.0,0,0.0,4.998788882173036,6,1.0012111178269638
Stephen F. Austin,Chrishawn Christmas,4,6,0.6666666666666666,5.7825755190492165,8,2.2174244809507835,0,1,0.0,0.7198808507948548,0,-0.7198808507948548,6.502456369844071,8,1.4975436301559286
Stephen F. Austin,Lateef Patrick,2,10,0.2,9.472520687049872,6,-3.4725206870498724,0,0,0.0,0.0,0,0.0,9.472520687049872,6,-3.4725206870498724
Stephen F. Austin,Keon Thompson,9,14,0.6428571428571429,14.135910448230549,19,4.864089551769451,6,8,0.75,5.759046806358838,6,0.24095319364116197,19.894957254589386,25,5.105042745410614
Stephen F. Austin,Ahamed Mohammed,1,3,0.3333333333333333,2.967653576164223,3,0.03234642383577713,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,4.407415277753932,4,-0.40741527775393216
Stephen F. Austin,Gediminas Alisas,6,8,0.75,7.918218334296329,12,4.081781665703671,0,0,0.0,0.0,0,0.0,7.918218334296329,12,4.081781665703671
Stephen F. Austin,Eltramon Smith Jr.,2,3,0.6666666666666666,3.570218399794296,4,0.429781600205704,0,0,0.0,0.0,0,0.0,3.570218399794296,4,0.429781600205704
Stephen F. Austin,Marcus Scurry,3,4,0.75,4.122856227218208,7,2.8771437727817917,0,0,0.0,0.0,0,0.0,4.122856227218208,7,2.8771437727817917
Stephen F. Austin,Narit Chotikavanic,6,10,0.6,10.189895207009934,17,6.8101047929900655,0,0,0.0,0.0,0,0.0,10.189895207009934,17,6.8101047929900655
Stephen F. Austin,Jerald Colonel,1,2,0.5,1.812784346689113,2,0.18721565331088708,1,2,0.5,1.4397617015897095,1,-0.4397617015897095,3.2525460482788224,3,-0.25254604827882243
Stephen F. Austin,Bryceson Melvin,1,3,0.3333333333333333,2.212905270310208,2,-0.21290527031020812,0,0,0.0,0.0,0,0.0,2.212905270310208,2,-0.21290527031020812
Stephen F. Austin,Christian Green,1,1,1.0,0.9474458684356033,2,1.0525541315643967,0,0,0.0,0.0,0,0.0,0.9474458684356033,2,1.0525541315643967
