Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Texas,Nic Codie,2,7,0.2857142857142857,6.405574356441727,4,-2.4055743564417273,0,2,0.0,1.439809139993901,0,-1.439809139993901,7.845383496435629,4,-3.8453834964356286
Texas,Tramon Mark,1,2,0.5,1.620934118029963,2,0.379065881970037,0,1,0.0,0.7199045699969505,0,-0.7199045699969505,2.3408386880269134,2,-0.3408386880269134
Texas,Dailyn Swain,7,18,0.3888888888888889,17.235413671314923,16,-1.235413671314923,0,0,0.0,0.0,0,0.0,17.235413671314923,16,-1.235413671314923
Texas,Matas Vokietaitis,3,8,0.375,7.786899588229526,6,-1.7868995882295264,9,10,0.9,7.199045699969505,9,1.8009543000304946,14.985945288199032,15,0.014054711800968178
Texas,Jordan Pope,3,10,0.3,9.700494750755706,9,-0.7004947507557056,6,7,0.8571428571428571,5.0393319899786535,6,0.9606680100213465,14.739826740734358,15,0.26017325926564183
Texas,Simeon Wilcher,0,3,0.0,2.9104019322692145,0,-2.9104019322692145,0,0,0.0,0.0,0,0.0,2.9104019322692145,0,-2.9104019322692145
Texas,Lassina Traore,2,5,0.4,4.71182247232704,4,-0.7118224723270403,1,2,0.5,1.439809139993901,1,-0.43980913999390103,6.151631612320942,5,-1.1516316123209416
Texas,Chendall Weaver,1,5,0.2,4.789077233882837,2,-2.7890772338828373,1,1,1.0,0.7199045699969505,1,0.2800954300030495,5.508981803879788,3,-2.508981803879788
Texas,Declan Duru Jr.,0,1,0.0,1.113468466528904,0,-1.113468466528904,0,0,0.0,0.0,0,0.0,1.113468466528904,0,-1.113468466528904
Duke,Isaiah Evans,7,13,0.5384615384615384,13.764888707030698,18,4.235111292969302,5,6,0.8333333333333334,4.319427419981703,5,0.6805725800182971,18.0843161270124,23,4.9156838729876
Duke,Cameron Boozer,3,12,0.25,11.485096387885182,6,-5.485096387885182,9,12,0.75,8.638854839963406,9,0.36114516003659425,20.123951227848586,15,-5.123951227848586
Duke,Patrick Ngongba II,4,7,0.5714285714285714,7.2578581335495524,8,0.7421418664504476,2,3,0.6666666666666666,2.1597137099908514,2,-0.15971370999085144,9.417571843540404,10,0.5824281564595957
Duke,Dame Sarr,2,5,0.4,6.086387027724181,6,-0.08638702772418139,2,4,0.5,2.879618279987802,2,-0.8796182799878021,8.966005307711983,8,-0.966005307711983
Duke,Darren Harris,1,3,0.3333333333333333,2.9257612574524368,3,0.07423874254756324,0,0,0.0,0.0,0,0.0,2.9257612574524368,3,0.07423874254756324
Duke,Nikolas Khamenia,1,2,0.5,2.281404209656422,3,0.7185957903435778,1,2,0.5,1.439809139993901,1,-0.43980913999390103,3.7212133496503235,4,0.27878665034967653
Duke,Maliq Brown,1,3,0.3333333333333333,3.090353766725141,2,-1.090353766725141,1,1,1.0,0.7199045699969505,1,0.2800954300030495,3.8102583367220917,3,-0.8102583367220917
Duke,Cayden Boozer,0,1,0.0,0.8331630244346155,0,-0.8331630244346155,2,2,1.0,1.439809139993901,2,0.560190860006099,2.2729721644285164,2,-0.27297216442851635
Duke,Caleb Foster,3,6,0.5,5.275226340471189,7,1.724773659528811,0,0,0.0,0.0,0,0.0,5.275226340471189,7,1.724773659528811
