Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Florida International,Larry Olayinka,4,11,0.36363636363636365,11.20399778673656,8,-3.2039977867365597,1,6,0.16666666666666666,4.319427419981703,1,-3.319427419981703,15.523425206718262,9,-6.523425206718262
Florida International,Zawdie Jackson,1,6,0.16666666666666666,6.084894820906146,3,-3.084894820906146,1,3,0.3333333333333333,2.1597137099908514,1,-1.1597137099908514,8.244608530896997,4,-4.244608530896997
Florida International,Ashton Williamson,2,10,0.2,10.355253066227823,5,-5.355253066227823,2,2,1.0,1.439809139993901,2,0.560190860006099,11.795062206221724,7,-4.795062206221724
Florida International,Corey Stephenson,8,19,0.42105263157894735,20.095875065775168,19,-1.095875065775168,6,6,1.0,4.319427419981703,6,1.6805725800182971,24.41530248575687,25,0.5846975142431283
Florida International,Julian Mackey,9,13,0.6923076923076923,13.769401973793661,21,7.230598026206339,3,4,0.75,2.879618279987802,3,0.12038172001219793,16.64902025378146,24,7.350979746218538
Florida International,Olajuwon Ibrahim,4,5,0.8,5.370470850139681,8,2.6295291498603186,0,0,0.0,0.0,0,0.0,5.370470850139681,8,2.6295291498603186
Florida International,Kennedy Brown,1,3,0.3333333333333333,2.64154776327203,2,-0.6415477632720301,0,0,0.0,0.0,0,0.0,2.64154776327203,2,-0.6415477632720301
Florida International,Thiago Sucatzky,1,4,0.25,3.988742773955087,2,-1.988742773955087,0,0,0.0,0.0,0,0.0,3.988742773955087,2,-1.988742773955087
LSU,Pablo Tamba,3,6,0.5,6.233076355560937,6,-0.23307635556093675,0,0,0.0,0.0,0,0.0,6.233076355560937,6,-0.23307635556093675
LSU,Mike Nwoko,6,7,0.8571428571428571,7.181352646339983,12,4.818647353660017,7,8,0.875,5.759236559975604,7,1.2407634400243959,12.940589206315586,19,6.059410793684414
LSU,Max Mackinnon,5,11,0.45454545454545453,10.966657012389204,10,-0.966657012389204,7,8,0.875,5.759236559975604,7,1.2407634400243959,16.725893572364807,17,0.2741064276351928
LSU,Marquel Sutton,6,11,0.5454545454545454,10.809153893564423,15,4.190846106435577,4,4,1.0,2.879618279987802,4,1.120381720012198,13.688772173552225,19,5.311227826447775
LSU,Dedan Thomas Jr.,4,9,0.4444444444444444,8.022594082008606,8,-0.02259408200860591,7,8,0.875,5.759236559975604,7,1.2407634400243959,13.781830641984211,15,1.218169358015789
LSU,Robert Miller III,1,3,0.3333333333333333,2.740143984047064,2,-0.740143984047064,5,6,0.8333333333333334,4.319427419981703,5,0.6805725800182971,7.059571404028767,7,-0.05957140402876693
LSU,PJ Carter,1,3,0.3333333333333333,3.308426650358234,3,-0.3084266503582338,0,0,0.0,0.0,0,0.0,3.308426650358234,3,-0.3084266503582338
LSU,Jalen Reece,0,2,0.0,1.5260938445485703,0,-1.5260938445485703,0,0,0.0,0.0,0,0.0,1.5260938445485703,0,-1.5260938445485703
LSU,Jalen Reed,5,6,0.8333333333333334,6.2283207150751405,10,3.7716792849248595,0,0,0.0,0.0,0,0.0,6.2283207150751405,10,3.7716792849248595
LSU,Rashad King,1,3,0.3333333333333333,3.268094580947512,2,-1.268094580947512,0,0,0.0,0.0,0,0.0,3.268094580947512,2,-1.268094580947512
