Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Arkansas-Pine Bluff,Milhan Charles,4,6,0.6666666666666666,5.954272758195083,8,2.045727241804917,5,6,0.8333333333333334,4.319289318040844,5,0.6807106819591562,10.273562076235926,13,2.726437923764074
Arkansas-Pine Bluff,Alex Mirhosseini,0,5,0.0,5.261990195908106,0,-5.261990195908106,0,0,0.0,0.0,0,0.0,5.261990195908106,0,-5.261990195908106
Arkansas-Pine Bluff,Jaquan Scott,7,16,0.4375,14.31261094318231,14,-0.3126109431823103,5,6,0.8333333333333334,4.319289318040844,5,0.6807106819591562,18.631900261223155,19,0.368099738776845
Arkansas-Pine Bluff,Quion Williams,4,12,0.3333333333333333,11.906353231795695,10,-1.9063532317956948,2,4,0.5,2.8795262120272294,2,-0.8795262120272294,14.785879443822925,12,-2.7858794438229246
Arkansas-Pine Bluff,Ramel Lloyd Jr.,4,7,0.5714285714285714,7.225352073867516,9,1.7746479261324843,0,0,0.0,0.0,0,0.0,7.225352073867516,9,1.7746479261324843
Arkansas-Pine Bluff,Kyle Brown,0,2,0.0,2.1253476840072,0,-2.1253476840072,0,0,0.0,0.0,0,0.0,2.1253476840072,0,-2.1253476840072
Arkansas-Pine Bluff,Trevon Payton,4,8,0.5,9.044901955693799,10,0.9550980443062009,0,0,0.0,0.0,0,0.0,9.044901955693799,10,0.9550980443062009
Arkansas-Pine Bluff,Jaichaunn Hayes,3,10,0.3,11.163546932624602,8,-3.1635469326246017,7,7,1.0,5.039170871047651,7,1.9608291289523487,16.202717803672254,15,-1.202717803672254
Arkansas-Pine Bluff,Ahmad Johnson,2,3,0.6666666666666666,2.7826311739993006,4,1.2173688260006994,2,2,1.0,1.4397631060136147,2,0.5602368939863853,4.2223942800129155,6,1.7776057199870845
Miami (OH),Peter Suder,6,9,0.6666666666666666,9.345372238277319,14,4.654627761722681,3,5,0.6,3.599407765034037,3,-0.5994077650340368,12.944780003311356,17,4.055219996688644
Miami (OH),Evan Ipsaro,5,8,0.625,8.817019262794808,11,2.1829807372051917,9,9,1.0,6.478933977061266,9,2.521066022938734,15.295953239856075,20,4.704046760143925
Miami (OH),Eian Elmer,1,5,0.2,5.033637260431149,3,-2.0336372604311492,1,2,0.5,1.4397631060136147,1,-0.4397631060136147,6.473400366444764,4,-2.473400366444764
Miami (OH),Brant Byers,4,8,0.5,7.49568116591678,10,2.50431883408322,0,0,0.0,0.0,0,0.0,7.49568116591678,10,2.50431883408322
Miami (OH),Tyler Robbins,3,7,0.42857142857142855,6.81189623291307,6,-0.8118962329130701,2,2,1.0,1.4397631060136147,2,0.5602368939863853,8.251659338926684,8,-0.25165933892668413
Miami (OH),Luke Skaljac,3,7,0.42857142857142855,7.113664427972399,7,-0.11366442797239884,2,2,1.0,1.4397631060136147,2,0.5602368939863853,8.553427533986014,9,0.44657246601398626
Miami (OH),Almar Atlason,2,3,0.6666666666666666,3.656282344752725,6,2.343717655247275,3,3,1.0,2.159644659020422,3,0.8403553409795781,5.815927003773147,9,3.1840729962268526
Miami (OH),Antwone Woolfolk,6,8,0.75,8.285193035124284,12,3.7148069648757165,2,3,0.6666666666666666,2.159644659020422,2,-0.1596446590204219,10.444837694144706,14,3.555162305855294
Miami (OH),Trey Perry,5,7,0.7142857142857143,6.585884771534939,11,4.414115228465061,4,4,1.0,2.8795262120272294,4,1.1204737879727706,9.465410983562169,15,5.534589016437831
Miami (OH),Kyle Waltz,1,2,0.5,1.9802309019934894,3,1.0197690980065106,0,0,0.0,0.0,0,0.0,1.9802309019934894,3,1.0197690980065106
Miami (OH),Brady Ganley,0,0,0.0,0.0,0,0.0,2,2,1.0,1.4397631060136147,2,0.5602368939863853,1.4397631060136147,2,0.5602368939863853
