Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Detroit Mercy,TJ Nadeau,4,7,0.5714285714285714,7.537154150383493,10,2.4628458496165067,4,4,1.0,2.8795262120272294,4,1.1204737879727706,10.416680362410723,14,3.583319637589277
Detroit Mercy,Orlando Lovejoy,2,10,0.2,8.779810537768554,4,-4.7798105377685545,4,4,1.0,2.8795262120272294,4,1.1204737879727706,11.659336749795784,8,-3.6593367497957843
Detroit Mercy,Xavier Istomin-Monroe,4,6,0.6666666666666666,5.984419416784956,8,2.015580583215044,0,0,0.0,0.0,0,0.0,5.984419416784956,8,2.015580583215044
Detroit Mercy,Jared Lary,3,6,0.5,5.491240602713208,7,1.5087593972867923,0,0,0.0,0.0,0,0.0,5.491240602713208,7,1.5087593972867923
Detroit Mercy,Nate Johnson,1,2,0.5,1.863319866395473,3,1.136680133604527,2,2,1.0,1.4397631060136147,2,0.5602368939863853,3.3030829724090878,5,1.6969170275909122
Detroit Mercy,London Maiden,3,5,0.6,4.798693213609192,6,1.2013067863908082,0,0,0.0,0.0,0,0.0,4.798693213609192,6,1.2013067863908082
Detroit Mercy,Ryan Kalambay,1,2,0.5,1.9198098408392321,2,0.08019015916076788,0,0,0.0,0.0,0,0.0,1.9198098408392321,2,0.08019015916076788
Detroit Mercy,Legend Geeter,1,4,0.25,3.95027636738334,2,-1.9502763673833399,0,0,0.0,0.0,0,0.0,3.95027636738334,2,-1.9502763673833399
Detroit Mercy,Keshawn Fisher,0,1,0.0,1.1078946261703804,0,-1.1078946261703804,0,0,0.0,0.0,0,0.0,1.1078946261703804,0,-1.1078946261703804
Detroit Mercy,Tyler Spratt,2,5,0.4,4.225046384705351,5,0.774953615294649,3,4,0.75,2.8795262120272294,3,0.12047378797277064,7.104572596732581,8,0.8954274032674192
Detroit Mercy,Ayden Carter,4,7,0.5714285714285714,7.351195671947664,8,0.6488043280523357,2,3,0.6666666666666666,2.159644659020422,2,-0.1596446590204219,9.510840330968087,10,0.4891596690319133
Detroit Mercy,Lance Stone,2,4,0.5,3.5898261845372166,4,0.4101738154627834,1,2,0.5,1.4397631060136147,1,-0.4397631060136147,5.029589290550831,5,-0.029589290550831038
DePaul,Théo Pierre-Justin,3,8,0.375,8.199245192177491,6,-2.199245192177491,2,2,1.0,1.4397631060136147,2,0.5602368939863853,9.639008298191106,8,-1.639008298191106
DePaul,Layden Blocker,5,10,0.5,9.83232389635731,13,3.1676761036426893,5,7,0.7142857142857143,5.039170871047651,5,-0.03917087104765127,14.871494767404961,18,3.128505232595039
DePaul,Brandon Maclin,3,6,0.5,6.070674334351859,7,0.9293256656481406,3,4,0.75,2.8795262120272294,3,0.12047378797277064,8.950200546379088,10,1.0497994536209116
DePaul,CJ Gunn,6,12,0.5,13.105238841691918,16,2.894761158308082,1,1,1.0,0.7198815530068073,1,0.28011844699319266,13.825120394698725,17,3.1748796053012747
DePaul,RJ Smith,3,5,0.6,5.228583369839649,8,2.771416630160351,2,2,1.0,1.4397631060136147,2,0.5602368939863853,6.668346475853264,10,3.331653524146736
DePaul,Kaleb Banks,3,6,0.5,5.978446890670688,8,2.0215531093293118,1,2,0.5,1.4397631060136147,1,-0.4397631060136147,7.418209996684303,9,1.5817900033156969
DePaul,Kruz McClure,1,4,0.25,4.458976513764249,3,-1.4589765137642488,0,0,0.0,0.0,0,0.0,4.458976513764249,3,-1.4589765137642488
DePaul,NJ Benson,4,6,0.6666666666666666,5.843948563922248,8,2.1560514360777523,2,2,1.0,1.4397631060136147,2,0.5602368939863853,7.283711669935863,10,2.7162883300641374
DePaul,Fabián Flores,1,1,1.0,1.1155752318251968,2,0.8844247681748032,5,5,1.0,3.599407765034037,5,1.4005922349659632,4.714982996859233,7,2.2850170031407666
DePaul,Khaman Maker,0,0,0.0,0.0,0,0.0,0,1,0.0,0.7198815530068073,0,-0.7198815530068073,0.7198815530068073,0,-0.7198815530068073
DePaul,Ilija Milijašević,1,2,0.5,2.796353862448272,3,0.20364613755172778,0,0,0.0,0.0,0,0.0,2.796353862448272,3,0.20364613755172778
