Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Seton Hall,AJ Staton-McCray,7,11,0.6363636363636364,10.691857727592252,17,6.308142272407748,5,6,0.8333333333333334,4.319289318040844,5,0.6807106819591562,15.011147045633095,22,6.988852954366905
Seton Hall,Mike Williams,5,8,0.625,8.326654886519933,13,4.673345113480067,1,1,1.0,0.7198815530068073,1,0.28011844699319266,9.04653643952674,14,4.95346356047326
Seton Hall,Elijah Fisher,5,9,0.5555555555555556,8.58711959264705,10,1.4128804073529508,3,3,1.0,2.159644659020422,3,0.8403553409795781,10.746764251667472,13,2.2532357483325285
Seton Hall,Adam Clark,4,8,0.5,7.137824113773551,8,0.8621758862264493,5,8,0.625,5.759052424054459,5,-0.7590524240544587,12.89687653782801,13,0.10312346217198964
Seton Hall,Jacob Dar,0,1,0.0,0.8556020285140301,0,-0.8556020285140301,0,0,0.0,0.0,0,0.0,0.8556020285140301,0,-0.8556020285140301
Seton Hall,Trey Parker,0,3,0.0,2.707885909557344,0,-2.707885909557344,0,0,0.0,0.0,0,0.0,2.707885909557344,0,-2.707885909557344
Seton Hall,Josh Rivera,0,1,0.0,1.027817097317924,0,-1.027817097317924,0,0,0.0,0.0,0,0.0,1.027817097317924,0,-1.027817097317924
Seton Hall,Najai Hines,5,5,1.0,4.76851209270825,10,5.23148790729175,0,0,0.0,0.0,0,0.0,4.76851209270825,10,5.23148790729175
Seton Hall,Tajuan Simpkins,2,7,0.2857142857142857,7.186992821193094,5,-2.186992821193094,6,6,1.0,4.319289318040844,6,1.6807106819591562,11.506282139233939,11,-0.5062821392339387
Seton Hall,Stephon Payne,1,3,0.3333333333333333,2.974435587579828,2,-0.9744355875798281,0,0,0.0,0.0,0,0.0,2.974435587579828,2,-0.9744355875798281
NC State,Ven-Allen Lubin,6,10,0.6,9.40478413904763,13,3.5952158609523703,3,6,0.5,4.319289318040844,3,-1.3192893180408438,13.724073457088473,16,2.2759265429115274
NC State,Quadir Copeland,2,5,0.4,5.115333767407933,4,-1.1153337674079333,2,2,1.0,1.4397631060136147,2,0.5602368939863853,6.555096873421548,6,-0.5550968734215482
NC State,Darrion Williams,4,8,0.5,8.090999569402967,10,1.9090004305970325,2,2,1.0,1.4397631060136147,2,0.5602368939863853,9.530762675416582,12,2.4692373245834176
NC State,Paul McNeil,2,9,0.2222222222222222,8.670086660491108,5,-3.6700866604911084,4,4,1.0,2.8795262120272294,4,1.1204737879727706,11.549612872518338,9,-2.5496128725183382
NC State,Tre Holloman,3,5,0.6,4.608857845138562,7,2.3911421548614378,4,5,0.8,3.599407765034037,4,0.4005922349659632,8.2082656101726,11,2.7917343898274005
NC State,Matt Able,6,12,0.5,12.888264816505606,14,1.1117351834943943,1,3,0.3333333333333333,2.159644659020422,1,-1.159644659020422,15.047909475526028,15,-0.04790947552602809
NC State,Alyn Breed,0,1,0.0,0.7591375499893178,0,-0.7591375499893178,0,0,0.0,0.0,0,0.0,0.7591375499893178,0,-0.7591375499893178
NC State,Musa Sagnia,1,3,0.3333333333333333,3.080344318971922,2,-1.080344318971922,0,0,0.0,0.0,0,0.0,3.080344318971922,2,-1.080344318971922
NC State,Jerry Deng,1,4,0.25,4.391484087201323,3,-1.3914840872013228,0,0,0.0,0.0,0,0.0,4.391484087201323,3,-1.3914840872013228
NC State,Terrance Arceneaux,0,2,0.0,1.980226209898027,0,-1.980226209898027,0,0,0.0,0.0,0,0.0,1.980226209898027,0,-1.980226209898027
