Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
James Madison,Bradley Douglas,1,7,0.14285714285714285,6.972865589923419,2,-4.972865589923419,9,10,0.9,7.198815530068074,9,1.8011844699319264,14.171681119991494,11,-3.1716811199914936
James Madison,Justin McBride,8,14,0.5714285714285714,13.267020378301769,19,5.732979621698231,7,9,0.7777777777777778,6.478933977061266,7,0.5210660229387338,19.745954355363036,26,6.254045644636964
James Madison,Cliff Davis,2,11,0.18181818181818182,10.501844387758599,6,-4.501844387758599,0,0,0.0,0.0,0,0.0,10.501844387758599,6,-4.501844387758599
James Madison,Preston Fowler,2,6,0.3333333333333333,6.03857519047406,6,-0.03857519047406033,0,0,0.0,0.0,0,0.0,6.03857519047406,6,-0.03857519047406033
James Madison,Christian Brown,2,6,0.3333333333333333,5.57557092956802,4,-1.5755709295680198,1,2,0.5,1.4397631060136147,1,-0.4397631060136147,7.015334035581635,5,-2.0153340355816347
James Madison,Paul Lewis,1,5,0.2,4.032217858358826,2,-2.032217858358826,3,3,1.0,2.159644659020422,3,0.8403553409795781,6.191862517379247,5,-1.1918625173792474
James Madison,Gabe Newhof,0,2,0.0,2.103332435228773,0,-2.103332435228773,0,2,0.0,1.4397631060136147,0,-1.4397631060136147,3.543095541242388,0,-3.543095541242388
James Madison,Paul Jones III,2,4,0.5,4.116533241137698,6,1.8834667588623022,0,0,0.0,0.0,0,0.0,4.116533241137698,6,1.8834667588623022
James Madison,Eli Wilborn,3,4,0.75,3.794215029323377,6,2.205784970676623,0,0,0.0,0.0,0,0.0,3.794215029323377,6,2.205784970676623
James Madison,Eddie Ricks III,3,9,0.3333333333333333,9.100054173284372,7,-2.100054173284372,1,2,0.5,1.4397631060136147,1,-0.4397631060136147,10.539817279297987,8,-2.5398172792979867
James Madison,Justin Taylor,0,0,0.0,0.0,0,0.0,1,2,0.5,1.4397631060136147,1,-0.4397631060136147,1.4397631060136147,1,-0.4397631060136147
Florida International,Eric Dibami,0,5,0.0,4.79362831615083,0,-4.79362831615083,0,4,0.0,2.8795262120272294,0,-2.8795262120272294,7.67315452817806,0,-7.67315452817806
Florida International,Corey Stephenson,10,22,0.45454545454545453,20.418294278460767,25,4.581705721539233,0,3,0.0,2.159644659020422,0,-2.159644659020422,22.57793893748119,25,2.422061062518811
Florida International,Larry Olayinka,1,4,0.25,3.3565016555815648,2,-1.3565016555815648,5,6,0.8333333333333334,4.319289318040844,5,0.6807106819591562,7.675790973622409,7,-0.6757909736224086
Florida International,Ashton Williamson,3,12,0.25,12.025765907287736,7,-5.025765907287736,3,3,1.0,2.159644659020422,3,0.8403553409795781,14.185410566308159,10,-4.185410566308159
Florida International,Zawdie Jackson,2,6,0.3333333333333333,6.25563329776865,5,-1.2556332977686502,2,2,1.0,1.4397631060136147,2,0.5602368939863853,7.695396403782265,7,-0.6953964037822651
Florida International,Olajuwon Ibrahim,3,3,1.0,2.855161581150547,6,3.144838418849453,2,3,0.6666666666666666,2.159644659020422,2,-0.1596446590204219,5.014806240170969,8,2.9851937598290306
Florida International,Julian Mackey,3,9,0.3333333333333333,8.739623971727978,8,-0.739623971727978,3,5,0.6,3.599407765034037,3,-0.5994077650340368,12.339031736762015,11,-1.3390317367620153
Florida International,Brit Harris,1,3,0.3333333333333333,2.7878030196312777,3,0.21219698036872225,1,1,1.0,0.7198815530068073,1,0.28011844699319266,3.507684572638085,4,0.4923154273619148
Florida International,Thiago Sucatzky,0,1,0.0,0.7367845368625353,0,-0.7367845368625353,0,0,0.0,0.0,0,0.0,0.7367845368625353,0,-0.7367845368625353
