Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Middle Tennessee,Torey Alston,2,7,0.2857142857142857,6.915670460978584,4,-2.9156704609785837,2,4,0.5,2.8795262120272294,2,-0.8795262120272294,9.795196673005814,6,-3.7951966730058135
Middle Tennessee,Kamari Lands,6,12,0.5,12.112709077977506,17,4.887290922022494,1,2,0.5,1.4397631060136147,1,-0.4397631060136147,13.55247218399112,18,4.447527816008879
Middle Tennessee,Jahvin Carter,5,11,0.45454545454545453,10.445317360235393,12,1.5546826397646072,1,1,1.0,0.7198815530068073,1,0.28011844699319266,11.1651989132422,13,1.8348010867577997
Middle Tennessee,Sean Smith,4,10,0.4,8.5416735697104,8,-0.5416735697103991,3,4,0.75,2.8795262120272294,3,0.12047378797277064,11.421199781737629,11,-0.42119978173762895
Middle Tennessee,Alec Oglesby,4,9,0.4444444444444444,9.328143745108001,11,1.671856254891999,1,2,0.5,1.4397631060136147,1,-0.4397631060136147,10.767906851121616,12,1.2320931488783842
Middle Tennessee,James Dent Jr.,0,1,0.0,0.8281607953501704,0,-0.8281607953501704,0,0,0.0,0.0,0,0.0,0.8281607953501704,0,-0.8281607953501704
Middle Tennessee,Chris Loofe,0,1,0.0,1.099989348246166,0,-1.099989348246166,0,1,0.0,0.7198815530068073,0,-0.7198815530068073,1.8198709012529735,0,-1.8198709012529735
Middle Tennessee,Luka Jovanovic,1,1,1.0,1.1135459671169976,2,0.8864540328830024,0,0,0.0,0.0,0,0.0,1.1135459671169976,2,0.8864540328830024
McNeese,Tyshawn Archie,5,15,0.3333333333333333,14.288443972570835,12,-2.2884439725708354,3,3,1.0,2.159644659020422,3,0.8403553409795781,16.448088631591258,15,-1.4480886315912578
McNeese,Javohn Garcia,8,11,0.7272727272727273,10.240228098067796,18,7.759771901932204,8,8,1.0,5.759052424054459,8,2.2409475759455413,15.999280522122255,26,10.000719477877745
McNeese,DJ Richards Jr.,1,3,0.3333333333333333,3.2702765384118457,3,-0.27027653841184573,4,4,1.0,2.8795262120272294,4,1.1204737879727706,6.1498027504390755,7,0.8501972495609245
McNeese,Jacolb Fredson-Cole,0,5,0.0,4.766424327479838,0,-4.766424327479838,0,0,0.0,0.0,0,0.0,4.766424327479838,0,-4.766424327479838
McNeese,Larry Johnson,2,7,0.2857142857142857,6.781830599495044,4,-2.781830599495044,2,3,0.6666666666666666,2.159644659020422,2,-0.1596446590204219,8.941475258515466,6,-2.9414752585154655
McNeese,Garwey Dual,3,12,0.25,11.12077696913187,6,-5.120776969131869,0,0,0.0,0.0,0,0.0,11.12077696913187,6,-5.120776969131869
McNeese,Carl Cherenfant,1,2,0.5,1.9411225339144862,2,0.05887746608551381,5,5,1.0,3.599407765034037,5,1.4005922349659632,5.540530298948523,7,1.4594697010514768
McNeese,Jerrell Colbert,1,2,0.5,1.9581647848129473,2,0.04183521518705269,1,2,0.5,1.4397631060136147,1,-0.4397631060136147,3.397927890826562,3,-0.397927890826562
McNeese,Peitok Machar,1,1,1.0,1.083254273230952,2,0.916745726769048,0,0,0.0,0.0,0,0.0,1.083254273230952,2,0.916745726769048
