Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
USC,Chad Baker-Mazara,9,16,0.5625,16.144179138197433,22,5.855820861802567,1,2,0.5,1.4397631060136147,1,-0.4397631060136147,17.58394224421105,23,5.416057755788952
USC,Ezra Ausar,6,6,1.0,6.095478091338036,12,5.904521908661964,2,4,0.5,2.8795262120272294,2,-0.8795262120272294,8.975004303365266,14,5.024995696634734
USC,Terrance Williams II,3,5,0.6,5.282633196795405,6,0.7173668032045946,1,1,1.0,0.7198815530068073,1,0.28011844699319266,6.002514749802213,7,0.9974852501977871
USC,Jaden Brownell,6,11,0.5454545454545454,10.03443216524942,15,4.96556783475058,1,1,1.0,0.7198815530068073,1,0.28011844699319266,10.754313718256228,16,5.245686281743772
USC,Jacob Cofie,4,6,0.6666666666666666,6.175480329161507,8,1.8245196708384928,3,3,1.0,2.159644659020422,3,0.8403553409795781,8.33512498818193,11,2.6648750118180704
USC,Amarion Dickerson,1,2,0.5,1.8302701989935888,3,1.1697298010064112,1,5,0.2,3.599407765034037,1,-2.599407765034037,5.429677964027626,4,-1.4296779640276256
USC,Jerry Easter II,1,5,0.2,4.525478954886262,2,-2.525478954886262,0,0,0.0,0.0,0,0.0,4.525478954886262,2,-2.525478954886262
USC,Gabe Dynes,1,1,1.0,1.0309479312469736,2,0.9690520687530264,0,0,0.0,0.0,0,0.0,1.0309479312469736,2,0.9690520687530264
USC,Jordan Marsh,3,5,0.6,4.393093530895198,7,2.6069064691048016,2,2,1.0,1.4397631060136147,2,0.5602368939863853,5.832856636908813,9,3.1671433630911867
Arizona State,Bryce Ford,2,8,0.25,8.129159595182976,6,-2.1291595951829763,0,0,0.0,0.0,0,0.0,8.129159595182976,6,-2.1291595951829763
Arizona State,Maurice Odum,4,12,0.3333333333333333,11.655471742947837,12,0.34452825705216306,5,6,0.8333333333333334,4.319289318040844,5,0.6807106819591562,15.97476106098868,17,1.0252389390113201
Arizona State,Andrija Grbović,1,3,0.3333333333333333,3.1415913398650837,3,-0.14159133986508365,0,0,0.0,0.0,0,0.0,3.1415913398650837,3,-0.14159133986508365
Arizona State,Santiago Trouet,5,10,0.5,9.999108744594,10,0.000891255405999658,3,4,0.75,2.8795262120272294,3,0.12047378797277064,12.87863495662123,13,0.12136504337876985
Arizona State,Anthony Johnson,3,7,0.42857142857142855,6.99161541790001,6,-0.9916154179000101,9,10,0.9,7.198815530068074,9,1.8011844699319264,14.190430947968084,15,0.8095690520319163
Arizona State,Noah Meeusen,2,5,0.4,4.573759890270951,5,0.4262401097290489,0,0,0.0,0.0,0,0.0,4.573759890270951,5,0.4262401097290489
Arizona State,Marcus Adams Jr.,0,0,0.0,0.0,0,0.0,2,2,1.0,1.4397631060136147,2,0.5602368939863853,1.4397631060136147,2,0.5602368939863853
Arizona State,Mor Massamba Diop,5,6,0.8333333333333334,6.153682362792306,10,3.8463176372076937,3,3,1.0,2.159644659020422,3,0.8403553409795781,8.313327021812729,13,4.686672978187271
Arizona State,Allen Mukeba,0,1,0.0,0.7551212245619374,0,-0.7551212245619374,1,2,0.5,1.4397631060136147,1,-0.4397631060136147,2.194884330575552,1,-1.1948843305755519
