Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
NC State,Quadir Copeland,10,14,0.7142857142857143,13.24908671890772,22,8.75091328109228,6,10,0.6,7.198876596828834,6,-1.1988765968288337,20.44796331573655,28,7.552036684263449
NC State,Ven-Allen Lubin,10,14,0.7142857142857143,13.339795361136272,20,6.660204638863728,3,4,0.75,2.8795506387315335,3,0.1204493612684665,16.219345999867805,23,6.780654000132195
NC State,Darrion Williams,3,10,0.3,9.434625672612462,8,-1.4346256726124622,2,4,0.5,2.8795506387315335,2,-0.8795506387315335,12.314176311343996,10,-2.3141763113439957
NC State,Paul McNeil,6,11,0.5454545454545454,10.816625766864199,15,4.183374233135801,5,6,0.8333333333333334,4.3193259580973,5,0.6806740419026998,15.1359517249615,20,4.864048275038501
NC State,Matt Able,0,5,0.0,4.304794083025781,0,-4.304794083025781,0,0,0.0,0.0,0,0.0,4.304794083025781,0,-4.304794083025781
NC State,Alyn Breed,2,4,0.5,3.65841761943728,5,1.3415823805627198,2,2,1.0,1.4397753193657667,2,0.5602246806342333,5.098192938803047,7,1.901807061196953
NC State,Tre Holloman,2,4,0.5,3.919870425507604,5,1.0801295744923962,0,0,0.0,0.0,0,0.0,3.919870425507604,5,1.0801295744923962
NC State,Terrance Arceneaux,1,2,0.5,2.1519843138241685,2,-0.15198431382416855,2,2,1.0,1.4397753193657667,2,0.5602246806342333,3.5917596331899353,4,0.4082403668100647
Texas,Tramon Mark,2,5,0.4,4.423709614055101,4,-0.42370961405510066,1,2,0.5,1.4397753193657667,1,-0.43977531936576675,5.863484933420867,5,-0.8634849334208674
Texas,Camden Heide,4,5,0.8,5.07339451905313,11,5.92660548094687,0,0,0.0,0.0,0,0.0,5.07339451905313,11,5.92660548094687
Texas,Jordan Pope,8,15,0.5333333333333333,15.084871734710116,23,7.915128265289884,5,6,0.8333333333333334,4.3193259580973,5,0.6806740419026998,19.404197692807415,28,8.595802307192585
Texas,Matas Vokietaitis,4,4,1.0,4.048586838876688,8,3.9514131611233116,5,6,0.8333333333333334,4.3193259580973,5,0.6806740419026998,8.36791279697399,13,4.6320872030260105
Texas,Chendall Weaver,4,8,0.5,8.546039183742142,11,2.453960816257858,6,7,0.8571428571428571,5.039213617780184,6,0.9607863822198164,13.585252801522326,17,3.4147471984776736
Texas,Dailyn Swain,4,9,0.4444444444444444,8.896350775540173,8,-0.8963507755401725,6,6,1.0,4.3193259580973,6,1.6806740419026998,13.215676733637473,14,0.7843232663625272
Texas,Lassina Traore,0,1,0.0,1.0462209550704467,0,-1.0462209550704467,2,2,1.0,1.4397753193657667,2,0.5602246806342333,2.4859962744362134,2,-0.4859962744362134
Texas,Simeon Wilcher,3,5,0.6,4.664033980837262,9,4.335966019162738,3,4,0.75,2.8795506387315335,3,0.1204493612684665,7.5435846195687954,12,4.4564153804312046
