Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Ball State,Juwan Maxey,4,12,0.3333333333333333,13.001417367770504,11,-2.001417367770504,0,1,0.0,0.7198815530068073,0,-0.7198815530068073,13.721298920777311,11,-2.7212989207773113
Ball State,Armoni Zeigler,3,10,0.3,9.143691793997423,6,-3.143691793997423,4,4,1.0,2.8795262120272294,4,1.1204737879727706,12.023218006024653,10,-2.0232180060246527
Ball State,Elmore James IV,2,8,0.25,7.894339940696687,4,-3.894339940696687,0,0,0.0,0.0,0,0.0,7.894339940696687,4,-3.894339940696687
Ball State,Davion Hill,3,9,0.3333333333333333,8.199201693685653,6,-2.1992016936856533,3,5,0.6,3.599407765034037,3,-0.5994077650340368,11.79860945871969,9,-2.7986094587196906
Ball State,Cam Denson,0,6,0.0,5.972138390477525,0,-5.972138390477525,1,2,0.5,1.4397631060136147,1,-0.4397631060136147,7.41190149649114,1,-6.41190149649114
Ball State,Mason Jones,0,4,0.0,3.331254875255825,0,-3.331254875255825,0,0,0.0,0.0,0,0.0,3.331254875255825,0,-3.331254875255825
Ball State,Preston Copeland,1,5,0.2,4.915281679357873,2,-2.9152816793578733,0,0,0.0,0.0,0,0.0,4.915281679357873,2,-2.9152816793578733
Ball State,Devon Barnes,0,4,0.0,4.00913734758395,0,-4.00913734758395,0,0,0.0,0.0,0,0.0,4.00913734758395,0,-4.00913734758395
Ball State,Easton Foster,0,1,0.0,0.8579520991639302,0,-0.8579520991639302,0,0,0.0,0.0,0,0.0,0.8579520991639302,0,-0.8579520991639302
Lafayette,Christian Humphrey,1,3,0.3333333333333333,2.5977506368794376,2,-0.5977506368794376,5,5,1.0,3.599407765034037,5,1.4005922349659632,6.197158401913475,7,0.8028415980865251
Lafayette,Andrew Phillips,2,13,0.15384615384615385,11.910286004673779,4,-7.910286004673779,2,3,0.6666666666666666,2.159644659020422,2,-0.1596446590204219,14.069930663694201,6,-8.069930663694201
Lafayette,Shareef Jackson,3,8,0.375,7.797988338021973,6,-1.7979883380219732,5,5,1.0,3.599407765034037,5,1.4005922349659632,11.39739610305601,11,-0.3973961030560105
Lafayette,Ryan Pettit,0,1,0.0,0.7470274585020891,0,-0.7470274585020891,2,2,1.0,1.4397631060136147,2,0.5602368939863853,2.1867905645157037,2,-0.18679056451570375
Lafayette,Caleb Williams,4,16,0.25,14.44544522994904,9,-5.445445229949041,1,2,0.5,1.4397631060136147,1,-0.4397631060136147,15.885208335962655,10,-5.8852083359626555
Lafayette,Mark Butler,4,8,0.5,7.946397768225343,8,0.05360223177465695,0,0,0.0,0.0,0,0.0,7.946397768225343,8,0.05360223177465695
Lafayette,Luke Bevilacqua,2,2,1.0,1.8486297140369072,4,2.1513702859630928,2,3,0.6666666666666666,2.159644659020422,2,-0.1596446590204219,4.008274373057329,6,1.9917256269426709
Lafayette,Malik Rasul,0,1,0.0,0.7762685635752742,0,-0.7762685635752742,0,0,0.0,0.0,0,0.0,0.7762685635752742,0,-0.7762685635752742
Lafayette,Folabomi Fayemi,1,1,1.0,0.8622892159396816,2,1.1377107840603184,0,0,0.0,0.0,0,0.0,0.8622892159396816,2,1.1377107840603184
