Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Bethune-Cookman,Quentin Heady,2,9,0.2222222222222222,8.737573233515274,5,-3.737573233515274,1,2,0.5,1.4397631060136147,1,-0.4397631060136147,10.177336339528889,6,-4.177336339528889
Bethune-Cookman,Arterio Morris,3,10,0.3,9.257854438958448,6,-3.2578544389584483,2,2,1.0,1.4397631060136147,2,0.5602368939863853,10.697617544972063,8,-2.697617544972063
Bethune-Cookman,Jakobi Heady,3,9,0.3333333333333333,8.880626341447382,6,-2.880626341447382,9,11,0.8181818181818182,7.918697083074881,9,1.081302916925119,16.799323424522264,15,-1.7993234245222638
Bethune-Cookman,Daniel Rouzan,4,10,0.4,8.73077950471339,8,-0.7307795047133894,2,2,1.0,1.4397631060136147,2,0.5602368939863853,10.170542610727004,10,-0.17054261072700427
Bethune-Cookman,Jordan Johnson,0,3,0.0,2.7929257972162826,0,-2.7929257972162826,0,0,0.0,0.0,0,0.0,2.7929257972162826,0,-2.7929257972162826
Bethune-Cookman,David Onanina,0,1,0.0,0.7385562604846192,0,-0.7385562604846192,0,0,0.0,0.0,0,0.0,0.7385562604846192,0,-0.7385562604846192
Bethune-Cookman,Ariel Bland,2,2,1.0,2.0757467112106784,4,1.9242532887893216,0,0,0.0,0.0,0,0.0,2.0757467112106784,4,1.9242532887893216
Bethune-Cookman,Seneca Willoughby,1,8,0.125,7.015932380032128,2,-5.015932380032128,3,4,0.75,2.8795262120272294,3,0.12047378797277064,9.895458592059358,5,-4.895458592059358
Bethune-Cookman,Rickey Mitchell Jr.,2,4,0.5,3.5247911833183068,5,1.4752088166816932,0,0,0.0,0.0,0,0.0,3.5247911833183068,5,1.4752088166816932
Bethune-Cookman,Dailon Minor,1,2,0.5,1.9137854827004808,3,1.0862145172995192,0,0,0.0,0.0,0,0.0,1.9137854827004808,3,1.0862145172995192
Indiana,Tucker DeVries,6,12,0.5,11.928315388206757,17,5.071684611793243,3,3,1.0,2.159644659020422,3,0.8403553409795781,14.08796004722718,20,5.912039952772821
Indiana,Tayton Conerway,4,8,0.5,8.41506862405062,8,-0.4150686240506207,1,1,1.0,0.7198815530068073,1,0.28011844699319266,9.134950177057428,9,-0.13495017705742818
Indiana,Reed Bailey,1,4,0.25,4.0746635733539955,2,-2.0746635733539955,3,4,0.75,2.8795262120272294,3,0.12047378797277064,6.9541897853812245,5,-1.9541897853812245
Indiana,Lamar Wilkerson,7,15,0.4666666666666667,15.84217340089534,15,-0.8421734008953408,3,3,1.0,2.159644659020422,3,0.8403553409795781,18.001818059915763,18,-0.001818059915763115
Indiana,Trent Sisley,6,10,0.6,11.156584094036951,13,1.8434159059630488,1,2,0.5,1.4397631060136147,1,-0.4397631060136147,12.596347200050566,14,1.403652799949434
Indiana,Sam Alexis,6,9,0.6666666666666666,9.086336859734079,12,2.913663140265921,2,2,1.0,1.4397631060136147,2,0.5602368939863853,10.526099965747694,14,3.4739000342523063
Indiana,Conor Enright,1,1,1.0,1.0634266116180646,3,1.9365733883819354,0,0,0.0,0.0,0,0.0,1.0634266116180646,3,1.9365733883819354
Indiana,Nick Dorn,4,5,0.8,5.241833378630895,12,6.758166621369105,2,2,1.0,1.4397631060136147,2,0.5602368939863853,6.68159648464451,14,7.31840351535549
Indiana,Jasai Miles,0,1,0.0,1.1495937769756561,0,-1.1495937769756561,1,2,0.5,1.4397631060136147,1,-0.4397631060136147,2.5893568829892706,1,-1.5893568829892706
Indiana,Drew Snively,1,1,1.0,1.1102827113432856,2,0.8897172886567144,0,0,0.0,0.0,0,0.0,1.1102827113432856,2,0.8897172886567144
