Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Lipscomb,Grant Asman,0,5,0.0,5.400981830381698,0,-5.400981830381698,3,4,0.75,2.8795262120272294,3,0.12047378797277064,8.280508042408927,3,-5.280508042408927
Lipscomb,Charlie Williams,5,12,0.4166666666666667,11.02997978600691,12,0.9700202139930898,0,0,0.0,0.0,0,0.0,11.02997978600691,12,0.9700202139930898
Lipscomb,Mateo Esmeraldo,7,12,0.5833333333333334,11.995767700904034,15,3.004232299095966,7,10,0.7,7.198815530068074,7,-0.19881553006807362,19.194583230972107,22,2.805416769027893
Lipscomb,Or Ashkenazi,2,5,0.4,5.031587117883857,6,0.9684128821161426,0,0,0.0,0.0,0,0.0,5.031587117883857,6,0.9684128821161426
Lipscomb,Ethan Duncan,6,9,0.6666666666666666,9.075772523453747,14,4.924227476546253,0,0,0.0,0.0,0,0.0,9.075772523453747,14,4.924227476546253
Lipscomb,Cole Middleton,1,4,0.25,3.623737155915467,2,-1.623737155915467,3,4,0.75,2.8795262120272294,3,0.12047378797277064,6.503263367942696,5,-1.5032633679426963
Lipscomb,Kennedy Okpara,3,4,0.75,4.670035201580627,9,4.329964798419373,2,4,0.5,2.8795262120272294,2,-0.8795262120272294,7.549561413607856,11,3.450438586392144
Lipscomb,Kellan Boylan,2,2,1.0,2.0268441798990797,4,1.9731558201009203,2,2,1.0,1.4397631060136147,2,0.5602368939863853,3.466607285912694,6,2.533392714087306
Lipscomb,Titas Sargiunas,3,5,0.6,5.110105968855304,7,1.8898940311446957,2,2,1.0,1.4397631060136147,2,0.5602368939863853,6.549869074868919,9,2.4501309251310808
Southeast Missouri State,Brendan Terry,5,11,0.45454545454545453,10.361703438153302,10,-0.3617034381533024,0,0,0.0,0.0,0,0.0,10.361703438153302,10,-0.3617034381533024
Southeast Missouri State,Braxton Stacker,6,13,0.46153846153846156,13.737409220368288,15,1.2625907796317115,9,11,0.8181818181818182,7.918697083074881,9,1.081302916925119,21.65610630344317,24,2.3438936965568296
Southeast Missouri State,Luke Almodovar,1,7,0.14285714285714285,8.094230363300245,2,-6.094230363300245,1,2,0.5,1.4397631060136147,1,-0.4397631060136147,9.53399346931386,3,-6.5339934693138595
Southeast Missouri State,BJ Ward,7,15,0.4666666666666667,13.88339688281717,15,1.1166031171828301,4,4,1.0,2.8795262120272294,4,1.1204737879727706,16.7629230948444,19,2.2370769051556003
Southeast Missouri State,David Idada,0,1,0.0,1.136976944499658,0,-1.136976944499658,6,6,1.0,4.319289318040844,6,1.6807106819591562,5.456266262540502,6,0.5437337374594984
Southeast Missouri State,Troy Cole Jr.,2,5,0.4,4.775774733526882,4,-0.7757747335268821,0,0,0.0,0.0,0,0.0,4.775774733526882,4,-0.7757747335268821
Southeast Missouri State,Marqueas Bell,4,7,0.5714285714285714,6.5784028067953475,8,1.4215971932046525,1,2,0.5,1.4397631060136147,1,-0.4397631060136147,8.018165912808962,9,0.9818340871910376
Southeast Missouri State,Elliot Lowndes,0,1,0.0,0.96361210302542,0,-0.96361210302542,0,1,0.0,0.7198815530068073,0,-0.7198815530068073,1.6834936560322273,0,-1.6834936560322273
Southeast Missouri State,Landren Blocker,0,1,0.0,0.74633966509572,0,-0.74633966509572,2,4,0.5,2.8795262120272294,2,-0.8795262120272294,3.6258658771229495,2,-1.6258658771229495
