Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Southern,Michael Jacobs,9,22,0.4090909090909091,21.881497381266893,19,-2.881497381266893,3,6,0.5,4.319289318040844,3,-1.3192893180408438,26.200786699307738,22,-4.200786699307738
Southern,Terrance Dixon Jr.,3,4,0.75,4.155166419404613,6,1.8448335805953873,3,4,0.75,2.8795262120272294,3,0.12047378797277064,7.034692631431842,9,1.9653073685681584
Southern,Brandon Hardy,1,2,0.5,1.8669779870097964,2,0.13302201299020355,0,0,0.0,0.0,0,0.0,1.8669779870097964,2,0.13302201299020355
Southern,Keith Lamar,1,5,0.2,5.5412031959154815,3,-2.5412031959154815,0,0,0.0,0.0,0,0.0,5.5412031959154815,3,-2.5412031959154815
Southern,Malek Abdelgowad,4,6,0.6666666666666666,5.9986449619478766,8,2.0013550380521234,1,2,0.5,1.4397631060136147,1,-0.4397631060136147,7.4384080679614915,9,1.5615919320385085
Southern,Cam Amboree,4,11,0.36363636363636365,11.346759812696973,10,-1.3467598126969733,0,1,0.0,0.7198815530068073,0,-0.7198815530068073,12.06664136570378,10,-2.0666413657037808
Southern,Fazl Oshodi,6,6,1.0,6.671135918475002,18,11.328864081524998,0,0,0.0,0.0,0,0.0,6.671135918475002,18,11.328864081524998
Southern,AJ Barnes,0,3,0.0,3.246622891279048,0,-3.246622891279048,0,0,0.0,0.0,0,0.0,3.246622891279048,0,-3.246622891279048
Southern,Ashton Magee,1,2,0.5,1.8771371622959308,2,0.12286283770406925,0,0,0.0,0.0,0,0.0,1.8771371622959308,2,0.12286283770406925
Northwestern State,Kordrick Turner,0,1,0.0,0.9385685811479654,0,-0.9385685811479654,1,2,0.5,1.4397631060136147,1,-0.4397631060136147,2.3783316871615803,1,-1.3783316871615803
Northwestern State,Landyn Jumawan,1,5,0.2,5.733261250356847,2,-3.733261250356847,0,0,0.0,0.0,0,0.0,5.733261250356847,2,-3.733261250356847
Northwestern State,Willie Williams,4,9,0.4444444444444444,8.938888138581822,9,0.06111186141817804,3,6,0.5,4.319289318040844,3,-1.3192893180408438,13.258177456622665,12,-1.258177456622665
Northwestern State,Chip Brunt,4,6,0.6666666666666666,5.734585477173214,8,2.265414522826786,2,2,1.0,1.4397631060136147,2,0.5602368939863853,7.174348583186829,10,2.8256514168131712
Northwestern State,Micah Thomas,6,14,0.42857142857142855,13.34191677509796,15,1.6580832249020396,0,0,0.0,0.0,0,0.0,13.34191677509796,15,1.6580832249020396
Northwestern State,J.C. Riley Jr.,0,1,0.0,1.0535001390728422,0,-1.0535001390728422,0,0,0.0,0.0,0,0.0,1.0535001390728422,0,-1.0535001390728422
Northwestern State,Justin Redmond,4,12,0.3333333333333333,13.312311414043544,10,-3.3123114140435437,0,0,0.0,0.0,0,0.0,13.312311414043544,10,-3.3123114140435437
Northwestern State,Omar Adegbola,1,3,0.3333333333333333,2.8255415802161172,2,-0.8255415802161172,2,2,1.0,1.4397631060136147,2,0.5602368939863853,4.265304686229732,4,-0.26530468622973213
Northwestern State,Izzy Miles,2,3,0.6666666666666666,3.1068025025062482,6,2.8931974974937518,0,0,0.0,0.0,0,0.0,3.1068025025062482,6,2.8931974974937518
Northwestern State,Moustapha Loum,1,2,0.5,2.0752596784061215,2,-0.07525967840612147,0,1,0.0,0.7198815530068073,0,-0.7198815530068073,2.795141231412929,2,-0.7951412314129289
Northwestern State,Chris Mubiru,3,3,1.0,4.133065430466292,9,4.866934569533708,2,2,1.0,1.4397631060136147,2,0.5602368939863853,5.572828536479907,11,5.427171463520093
