Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Eastern Michigan,Carlos Hart,4,13,0.3076923076923077,12.859962990342627,10,-2.859962990342627,1,2,0.5,1.4397631060136147,1,-0.4397631060136147,14.299726096356242,11,-3.299726096356242
Eastern Michigan,Godslove Nwabude,3,6,0.5,6.086209996598697,6,-0.0862099965986971,1,1,1.0,0.7198815530068073,1,0.28011844699319266,6.8060915496055046,7,0.19390845039449545
Eastern Michigan,Jon Sanders II,0,5,0.0,4.273227977513566,0,-4.273227977513566,3,3,1.0,2.159644659020422,3,0.8403553409795781,6.432872636533988,3,-3.432872636533988
Eastern Michigan,Mohammad Habhab,5,13,0.38461538461538464,12.037839397637807,10,-2.037839397637807,5,5,1.0,3.599407765034037,5,1.4005922349659632,15.637247162671844,15,-0.6372471626718443
Eastern Michigan,Mak Manciel,4,6,0.6666666666666666,6.152369704373414,11,4.847630295626586,1,1,1.0,0.7198815530068073,1,0.28011844699319266,6.8722512573802215,12,5.1277487426197785
Eastern Michigan,Addison Patterson,5,9,0.5555555555555556,8.846414960990323,10,1.153585039009677,1,1,1.0,0.7198815530068073,1,0.28011844699319266,9.56629651399713,11,1.4337034860028695
Eastern Michigan,Aidan Rubio,1,2,0.5,1.8587145301416435,3,1.1412854698583565,0,0,0.0,0.0,0,0.0,1.8587145301416435,3,1.1412854698583565
Eastern Michigan,Gregory Lawson II,0,1,0.0,0.8739069945668987,0,-0.8739069945668987,0,0,0.0,0.0,0,0.0,0.8739069945668987,0,-0.8739069945668987
Eastern Michigan,Merritt Alderink,2,3,0.6666666666666666,3.658515163807088,6,2.341484836192912,0,0,0.0,0.0,0,0.0,3.658515163807088,6,2.341484836192912
Butler,Michael Ajayi,7,11,0.6363636363636364,9.87606894799615,16,6.123931052003851,3,4,0.75,2.8795262120272294,3,0.12047378797277064,12.755595160023379,19,6.244404839976621
Butler,Finley Bizjack,10,14,0.7142857142857143,14.489579234865962,26,11.510420765134038,3,3,1.0,2.159644659020422,3,0.8403553409795781,16.649223893886383,29,12.350776106113617
Butler,Jamie Kaiser Jr.,3,5,0.6,5.228491581367699,7,1.7715084186323011,0,0,0.0,0.0,0,0.0,5.228491581367699,7,1.7715084186323011
Butler,Drayton Jones,2,4,0.5,3.757311851228553,4,0.24268814877144695,1,2,0.5,1.4397631060136147,1,-0.4397631060136147,5.197074957242168,5,-0.19707495724216795
Butler,Yohan Traore,3,7,0.42857142857142855,7.008909144456068,6,-1.0089091444560676,2,2,1.0,1.4397631060136147,2,0.5602368939863853,8.448672250469683,8,-0.4486722504696825
Butler,Yame Butler,1,3,0.3333333333333333,3.325789657809743,2,-1.325789657809743,0,0,0.0,0.0,0,0.0,3.325789657809743,2,-1.325789657809743
Butler,Evan Haywood,1,2,0.5,1.9436036659581268,3,1.0563963340418732,2,2,1.0,1.4397631060136147,2,0.5602368939863853,3.3833667719717413,5,1.6166332280282587
Butler,Azavier Robinson,2,2,1.0,1.9678385981206525,5,3.0321614018793475,0,0,0.0,0.0,0,0.0,1.9678385981206525,5,3.0321614018793475
Butler,Efeosa Oliogu-Elabor,0,7,0.0,6.762036796524286,0,-6.762036796524286,2,4,0.5,2.8795262120272294,2,-0.8795262120272294,9.641563008551515,2,-7.641563008551515
Butler,Jack McCaffery,0,1,0.0,1.0655971295630238,0,-1.0655971295630238,2,2,1.0,1.4397631060136147,2,0.5602368939863853,2.5053602355766387,2,-0.5053602355766387
