Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Texas State,Franck Emmou,1,2,0.5,1.6754945599537046,2,0.32450544004629545,0,0,0.0,0.0,0,0.0,1.6754945599537046,2,0.32450544004629545
Texas State,Makai Willis,2,8,0.25,7.604685477110126,4,-3.6046854771101264,3,4,0.75,2.8795262120272294,3,0.12047378797277064,10.484211689137355,7,-3.4842116891373553
Texas State,DJ Hall,5,12,0.4166666666666667,10.894430240035328,10,-0.8944302400353283,2,3,0.6666666666666666,2.159644659020422,2,-0.1596446590204219,13.05407489905575,12,-1.0540748990557507
Texas State,Kaden Gumbs,2,6,0.3333333333333333,5.691732603807258,4,-1.6917326038072584,0,0,0.0,0.0,0,0.0,5.691732603807258,4,-1.6917326038072584
Texas State,Kyndall Davis,4,5,0.8,4.398728460341736,10,5.601271539658264,2,4,0.5,2.8795262120272294,2,-0.8795262120272294,7.2782546723689645,12,4.7217453276310355
Texas State,Tay Knox,0,1,0.0,0.7782794889359497,0,-0.7782794889359497,0,0,0.0,0.0,0,0.0,0.7782794889359497,0,-0.7782794889359497
Texas State,Dimp Pernell,4,7,0.5714285714285714,6.096704861662379,9,2.9032951383376213,1,1,1.0,0.7198815530068073,1,0.28011844699319266,6.816586414669186,10,3.183413585330814
Texas State,Ky Pernell,0,2,0.0,1.567098938090841,0,-1.567098938090841,0,0,0.0,0.0,0,0.0,1.567098938090841,0,-1.567098938090841
Texas State,Jalen Bolden,1,3,0.3333333333333333,2.479606192836054,2,-0.4796061928360542,0,0,0.0,0.0,0,0.0,2.479606192836054,2,-0.4796061928360542
Texas State,Mark Drone,8,16,0.5,16.384817685324407,17,0.615182314675593,6,7,0.8571428571428571,5.039170871047651,6,0.9608291289523487,21.42398855637206,23,1.5760114436279409
Texas State,Robert Fields,0,1,0.0,0.836838031294938,0,-0.836838031294938,0,0,0.0,0.0,0,0.0,0.836838031294938,0,-0.836838031294938
Rice,Trae Broadnax,5,10,0.5,9.903611167647096,11,1.096388832352904,5,6,0.8333333333333334,4.319289318040844,5,0.6807106819591562,14.22290048568794,16,1.7770995143120594
Rice,Jimmy Oladokun Jr.,3,5,0.6,4.9554566735592065,6,1.0445433264407935,0,1,0.0,0.7198815530068073,0,-0.7198815530068073,5.675338226566014,6,0.32466177343398606
Rice,Cam Carroll,5,8,0.625,8.706543811252805,12,3.2934561887471947,3,4,0.75,2.8795262120272294,3,0.12047378797277064,11.586070023280035,15,3.413929976719965
Rice,Nick Anderson,4,13,0.3076923076923077,13.597810819903039,10,-3.5978108199030387,5,6,0.8333333333333334,4.319289318040844,5,0.6807106819591562,17.917100137943883,15,-2.9171001379438835
Rice,Jordan Williams,0,3,0.0,2.877126715004695,0,-2.877126715004695,0,0,0.0,0.0,0,0.0,2.877126715004695,0,-2.877126715004695
Rice,Eternity Eguagie,1,3,0.3333333333333333,2.694904467410698,2,-0.6949044674106979,2,4,0.5,2.8795262120272294,2,-0.8795262120272294,5.574430679437928,4,-1.5744306794379277
Rice,Stephen Giwa,2,2,1.0,2.134116312453642,4,1.8658836875463578,0,0,0.0,0.0,0,0.0,2.134116312453642,4,1.8658836875463578
Rice,Bodey Howell,0,1,0.0,1.1973309169484347,0,-1.1973309169484347,0,0,0.0,0.0,0,0.0,1.1973309169484347,0,-1.1973309169484347
Rice,Andrew Akuchie,1,3,0.3333333333333333,2.8045862652997586,2,-0.8045862652997586,4,4,1.0,2.8795262120272294,4,1.1204737879727706,5.6841124773269875,6,0.31588752267301246
Rice,Jalen Smith,3,7,0.42857142857142855,6.79323640017921,8,1.20676359982079,3,4,0.75,2.8795262120272294,3,0.12047378797277064,9.672762612206439,11,1.327237387793561
