Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Air Force,Wesley Celichowski,2,7,0.2857142857142857,6.211690648840785,4,-2.2116906488407846,3,4,0.75,2.8795262120272294,3,0.12047378797277064,9.091216860868014,7,-2.0912168608680144
Air Force,Kam Sanders,4,12,0.3333333333333333,11.304541820031796,10,-1.3045418200317958,5,7,0.7142857142857143,5.039170871047651,5,-0.03917087104765127,16.343712691079446,15,-1.3437126910794461
Air Force,Lucas Hobin,4,11,0.36363636363636365,11.823100305073035,10,-1.8231003050730354,0,0,0.0,0.0,0,0.0,11.823100305073035,10,-1.8231003050730354
Air Force,Caleb Walker,6,9,0.6666666666666666,8.579213611455469,12,3.4207863885445313,0,1,0.0,0.7198815530068073,0,-0.7198815530068073,9.299095164462276,12,2.700904835537724
Air Force,Kolby Gilles,1,3,0.3333333333333333,2.6494143384138162,2,-0.6494143384138162,0,2,0.0,1.4397631060136147,0,-1.4397631060136147,4.089177444427431,2,-2.089177444427431
Air Force,A.J. Patterson,0,1,0.0,0.8008716536577059,0,-0.8008716536577059,0,0,0.0,0.0,0,0.0,0.8008716536577059,0,-0.8008716536577059
Air Force,Justin Hinds,3,7,0.42857142857142855,7.687363109574127,8,0.31263689042587295,0,0,0.0,0.0,0,0.0,7.687363109574127,8,0.31263689042587295
Air Force,Ethan Greenberg,0,2,0.0,1.9676638675785305,0,-1.9676638675785305,0,0,0.0,0.0,0,0.0,1.9676638675785305,0,-1.9676638675785305
Air Force,Eli Robinson,1,1,1.0,1.1135459671169976,2,0.8864540328830024,0,0,0.0,0.0,0,0.0,1.1135459671169976,2,0.8864540328830024
Navy,Mike Woods,1,5,0.2,4.788752898267668,2,-2.788752898267668,0,0,0.0,0.0,0,0.0,4.788752898267668,2,-2.788752898267668
Navy,Jinwoo Kim,3,11,0.2727272727272727,10.174220133110977,8,-2.1742201331109765,2,2,1.0,1.4397631060136147,2,0.5602368939863853,11.613983239124591,10,-1.6139832391245914
Navy,Aidan Kehoe,5,8,0.625,7.774414765180332,10,2.2255852348196683,0,0,0.0,0.0,0,0.0,7.774414765180332,10,2.2255852348196683
Navy,Donovan Draper,3,7,0.42857142857142855,6.539239775947117,6,-0.5392397759471166,2,2,1.0,1.4397631060136147,2,0.5602368939863853,7.9790028819607315,8,0.020997118039268514
Navy,Jordan Pennick,1,4,0.25,3.9592978320496246,2,-1.9592978320496246,2,2,1.0,1.4397631060136147,2,0.5602368939863853,5.399060938063239,4,-1.399060938063239
Navy,Austin Benigni,7,15,0.4666666666666667,14.656191009107575,17,2.343808990892425,8,8,1.0,5.759052424054459,8,2.2409475759455413,20.415243433162033,25,4.584756566837967
Navy,Cam Cole,1,3,0.3333333333333333,3.167343143276089,2,-1.167343143276089,0,1,0.0,0.7198815530068073,0,-0.7198815530068073,3.8872246962828965,2,-1.8872246962828965
