Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Cal State Northridge,Josiah Davis,5,13,0.38461538461538464,13.041629411483223,10,-3.041629411483223,4,5,0.8,3.599407765034037,4,0.4005922349659632,16.64103717651726,14,-2.6410371765172584
Cal State Northridge,Davius Loury,3,10,0.3,10.293337383785087,8,-2.2933373837850866,3,4,0.75,2.8795262120272294,3,0.12047378797277064,13.172863595812316,11,-2.1728635958123164
Cal State Northridge,James Evans Jr.,0,1,0.0,0.7947280713258555,0,-0.7947280713258555,1,3,0.3333333333333333,2.159644659020422,1,-1.159644659020422,2.9543727303462775,1,-1.9543727303462775
Cal State Northridge,Larry Hughes II,6,16,0.375,14.246413348006042,16,1.7535866519939578,2,3,0.6666666666666666,2.159644659020422,2,-0.1596446590204219,16.406058007026463,18,1.5939419929735372
Cal State Northridge,Mahmoud Fofana,5,9,0.5555555555555556,9.191580426441652,10,0.8084195735583481,1,1,1.0,0.7198815530068073,1,0.28011844699319266,9.91146197944846,11,1.0885380205515407
Cal State Northridge,Jordan Brinson,3,7,0.42857142857142855,7.893356586507143,7,-0.8933565865071431,0,0,0.0,0.0,0,0.0,7.893356586507143,7,-0.8933565865071431
Cal State Northridge,Jai Chisolm,1,1,1.0,0.8281607953501704,3,2.17183920464983,0,0,0.0,0.0,0,0.0,0.8281607953501704,3,2.17183920464983
Cal State Northridge,Aleks Szymczyk,0,4,0.0,4.7770368868228825,0,-4.7770368868228825,0,0,0.0,0.0,0,0.0,4.7770368868228825,0,-4.7770368868228825
Cal State Northridge,Grady Lewis,3,5,0.6,4.902134132207276,6,1.0978658677927244,0,2,0.0,1.4397631060136147,0,-1.4397631060136147,6.3418972382208905,6,-0.34189723822089046
UC Irvine,Jurian Dixon,2,12,0.16666666666666666,11.036987528840221,4,-7.036987528840221,5,6,0.8333333333333334,4.319289318040844,5,0.6807106819591562,15.356276846881066,9,-6.356276846881066
UC Irvine,Harrison Carrington,1,3,0.3333333333333333,2.9394766022442536,2,-0.9394766022442536,1,2,0.5,1.4397631060136147,1,-0.4397631060136147,4.3792397082578685,3,-1.3792397082578685
UC Irvine,Derin Saran,7,15,0.4666666666666667,14.939272694321298,16,1.0607273056787019,1,2,0.5,1.4397631060136147,1,-0.4397631060136147,16.37903580033491,17,0.6209641996650888
UC Irvine,Kyle Evans,5,7,0.7142857142857143,6.960615390359115,10,3.0393846096408854,2,2,1.0,1.4397631060136147,2,0.5602368939863853,8.40037849637273,12,3.5996215036272705
UC Irvine,Tama Isaac,4,5,0.8,4.958054418225116,11,6.041945581774884,1,2,0.5,1.4397631060136147,1,-0.4397631060136147,6.3978175242387305,12,5.6021824757612695
UC Irvine,Nes Emeneke,0,0,0.0,0.0,0,0.0,2,4,0.5,2.8795262120272294,2,-0.8795262120272294,2.8795262120272294,2,-0.8795262120272294
UC Irvine,Andre Henry,5,8,0.625,7.518726769513367,12,4.481273230486633,0,0,0.0,0.0,0,0.0,7.518726769513367,12,4.481273230486633
UC Irvine,Jovan Jester Jr.,3,7,0.42857142857142855,6.74792738605734,8,1.2520726139426603,2,3,0.6666666666666666,2.159644659020422,2,-0.1596446590204219,8.907572045077762,10,1.092427954922238
UC Irvine,Akiva McBirney-Griffin,1,1,1.0,0.9526500318320599,2,1.0473499681679401,0,0,0.0,0.0,0,0.0,0.9526500318320599,2,1.0473499681679401
UC Irvine,Elijah Chol,3,5,0.6,5.023811284651097,6,0.9761887153489033,0,0,0.0,0.0,0,0.0,5.023811284651097,6,0.9761887153489033
