Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Nevada,Tayshawn Comer,9,16,0.5625,14.979068277768135,22,7.020931722231865,2,2,1.0,1.4397631060136147,2,0.5602368939863853,16.41883138378175,24,7.58116861621825
Nevada,Elijah Price,4,10,0.4,9.096565244385054,9,-0.09656524438505443,6,6,1.0,4.319289318040844,6,1.6807106819591562,13.4158545624259,15,1.5841454375741009
Nevada,Chuck Bailey III,5,11,0.45454545454545453,10.497931211902559,11,0.502068788097441,1,2,0.5,1.4397631060136147,1,-0.4397631060136147,11.937694317916174,12,0.06230568208382614
Nevada,Kaleb Lowery,0,1,0.0,0.96361210302542,0,-0.96361210302542,0,0,0.0,0.0,0,0.0,0.96361210302542,0,-0.96361210302542
Nevada,Myles Walker,0,3,0.0,2.6411487926576678,0,-2.6411487926576678,0,0,0.0,0.0,0,0.0,2.6411487926576678,0,-2.6411487926576678
Nevada,Peyton White,1,7,0.14285714285714285,5.900838156138686,3,-2.9008381561386862,4,4,1.0,2.8795262120272294,4,1.1204737879727706,8.780364368165916,7,-1.780364368165916
Nevada,Amire Robinson,4,5,0.8,5.41575949138186,11,5.58424050861814,0,1,0.0,0.7198815530068073,0,-0.7198815530068073,6.1356410443886675,11,4.8643589556113325
Nevada,Vaughn Weems,1,3,0.3333333333333333,3.0836278274382924,2,-1.0836278274382924,2,2,1.0,1.4397631060136147,2,0.5602368939863853,4.523390933451907,4,-0.5233909334519069
Nevada,Tyler Rolison,1,4,0.25,3.9808985248409856,2,-1.9808985248409856,2,2,1.0,1.4397631060136147,2,0.5602368939863853,5.4206616308546005,4,-1.4206616308546005
Nevada,Jeriah Coleman,0,0,0.0,0.0,0,0.0,1,2,0.5,1.4397631060136147,1,-0.4397631060136147,1.4397631060136147,1,-0.4397631060136147
Washington State,Ace Glass,3,14,0.21428571428571427,13.883836632797342,8,-5.883836632797342,2,2,1.0,1.4397631060136147,2,0.5602368939863853,15.323599738810957,10,-5.323599738810957
Washington State,Jerone Morton,0,3,0.0,2.900285678223133,0,-2.900285678223133,1,2,0.5,1.4397631060136147,1,-0.4397631060136147,4.340048784236748,1,-3.340048784236748
Washington State,ND Okafor,1,3,0.3333333333333333,3.041062100252426,2,-1.041062100252426,3,4,0.75,2.8795262120272294,3,0.12047378797277064,5.920588312279655,5,-0.920588312279655
Washington State,Eemeli Yalaho,3,8,0.375,7.713084064276089,7,-0.7130840642760887,4,4,1.0,2.8795262120272294,4,1.1204737879727706,10.592610276303319,11,0.40738972369668147
Washington State,Adria Rodriguez,0,1,0.0,1.1254229087831082,0,-1.1254229087831082,0,0,0.0,0.0,0,0.0,1.1254229087831082,0,-1.1254229087831082
Washington State,Tomas Thrastarson,7,10,0.7,9.744668286498733,15,5.255331713501267,5,8,0.625,5.759052424054459,5,-0.7590524240544587,15.503720710553193,20,4.496279289446807
Washington State,Rihards Vavers,4,7,0.5714285714285714,7.02023227834054,10,2.97976772165946,2,2,1.0,1.4397631060136147,2,0.5602368939863853,8.459995384354155,12,3.540004615645845
Washington State,Parker Gerrits,2,3,0.6666666666666666,2.741739357020168,5,2.258260642979832,0,0,0.0,0.0,0,0.0,2.741739357020168,5,2.258260642979832
Washington State,Simon Hildebrandt,0,1,0.0,0.8595544937687729,0,-0.8595544937687729,0,0,0.0,0.0,0,0.0,0.8595544937687729,0,-0.8595544937687729
Washington State,Emmanuel Ugbo,0,1,0.0,1.1434040851534903,0,-1.1434040851534903,0,0,0.0,0.0,0,0.0,1.1434040851534903,0,-1.1434040851534903
