Team,Player,FG Makes,FG Attempts,FG%,FG xP,FG Actual,FG Performance,FT Makes,FT Attempts,FT%,FT xP,FT Actual,FT Performance,Total xP,Total Actual,Total Performance
Oklahoma,Nijel Pack,3,8,0.375,7.9144928706429365,7,-0.9144928706429365,0,1,0.0,0.7199045699969505,0,-0.7199045699969505,8.634397440639887,7,-1.6343974406398871
Oklahoma,Tae Davis,4,9,0.4444444444444444,9.723749481831705,8,-1.723749481831705,3,3,1.0,2.1597137099908514,3,0.8402862900091486,11.883463191822557,11,-0.8834631918225568
Oklahoma,Derrion Reid,0,7,0.0,7.87356007054937,0,-7.87356007054937,3,4,0.75,2.879618279987802,3,0.12038172001219793,10.753178350537173,3,-7.753178350537173
Oklahoma,Xzayvier Brown,4,10,0.4,11.27368274284978,8,-3.273682742849781,3,4,0.75,2.879618279987802,3,0.12038172001219793,14.153301022837583,11,-3.1533010228375833
Oklahoma,Dayton Forsythe,0,4,0.0,3.859426460196385,0,-3.859426460196385,2,2,1.0,1.439809139993901,2,0.560190860006099,5.299235600190286,2,-3.2992356001902863
Oklahoma,Mohamed Wague,1,2,0.5,2.1208582765262065,2,-0.12085827652620651,0,3,0.0,2.1597137099908514,0,-2.1597137099908514,4.280571986517058,2,-2.2805719865170584
Oklahoma,Jadon Jones,2,5,0.4,5.5221164008618455,6,0.4778835991381545,2,3,0.6666666666666666,2.1597137099908514,2,-0.15971370999085144,7.681830110852697,8,0.3181698891473026
Oklahoma,Jeff Nwankwo,3,8,0.375,9.126250189744113,9,-0.12625018974411262,1,2,0.5,1.439809139993901,1,-0.43980913999390103,10.566059329738014,10,-0.5660593297380139
Oklahoma,Kai Rogers,1,1,1.0,1.099989348246166,2,0.900010651753834,2,4,0.5,2.879618279987802,2,-0.8796182799878021,3.979607628233968,4,0.020392371766031925
Oklahoma,Kuol Atak,4,9,0.4444444444444444,9.695707258995256,12,2.304292741004744,0,0,0.0,0.0,0,0.0,9.695707258995256,12,2.304292741004744
Arizona State,Mor Massamba Diop,2,6,0.3333333333333333,5.546817573612055,4,-1.5468175736120546,3,4,0.75,2.879618279987802,3,0.12038172001219793,8.426435853599857,7,-1.4264358535998571
Arizona State,Allen Mukeba,4,6,0.6666666666666666,6.289466679830676,8,1.7105333201693238,1,4,0.25,2.879618279987802,1,-1.879618279987802,9.169084959818479,9,-0.1690849598184787
Arizona State,Anthony Johnson,5,8,0.625,9.175813172311319,12,2.8241868276886812,4,5,0.8,3.5995228499847527,4,0.4004771500152473,12.775336022296072,16,3.224663977703928
Arizona State,Marcus Adams Jr.,3,6,0.5,6.2884022465904685,9,2.7115977534095315,2,4,0.5,2.879618279987802,2,-0.8796182799878021,9.168020526578271,11,1.831979473421729
Arizona State,Maurice Odum,4,7,0.5714285714285714,7.015760181647509,11,3.984239818352491,6,6,1.0,4.319427419981703,6,1.6805725800182971,11.335187601629212,17,5.664812398370788
Arizona State,Trevor Best,0,2,0.0,2.104924641344452,0,-2.104924641344452,1,2,0.5,1.439809139993901,1,-0.43980913999390103,3.544733781338353,1,-2.544733781338353
Arizona State,Santiago Trouet,1,4,0.25,3.870392709547745,2,-1.8703927095477448,4,6,0.6666666666666666,4.319427419981703,4,-0.3194274199817029,8.189820129529448,6,-2.1898201295294477
Arizona State,Bryce Ford,1,4,0.25,3.9656712583730127,2,-1.9656712583730127,0,0,0.0,0.0,0,0.0,3.9656712583730127,2,-1.9656712583730127
Arizona State,Andrija Grbović,3,5,0.6,5.202093567660694,9,3.797906432339306,2,3,0.6666666666666666,2.1597137099908514,2,-0.15971370999085144,7.361807277651545,11,3.638192722348455
Arizona State,Noah Meeusen,2,5,0.4,6.189130284123985,6,-0.18913028412398525,0,0,0.0,0.0,0,0.0,6.189130284123985,6,-0.18913028412398525
